gene_name	gene_id
Pex2	ENSMUSG00000040374
Zc2hc1a	ENSMUSG00000043542
Stmn2	ENSMUSG00000027500
Mrps28	ENSMUSG00000040269
Tpd52	ENSMUSG00000027506
Zfp704	ENSMUSG00000040209
Fabp5	ENSMUSG00000027533
Chmp4c	ENSMUSG00000027536
Snx16	ENSMUSG00000027534
E2f5	ENSMUSG00000027552
Car2	ENSMUSG00000027562
Ythdf3	ENSMUSG00000047213
Armc1	ENSMUSG00000027599
Pde7a	ENSMUSG00000069094
Hps3	ENSMUSG00000027615
Hltf	ENSMUSG00000002428
Gyg	ENSMUSG00000019528
Tbl1xr1	ENSMUSG00000027630
Ect2	ENSMUSG00000027699
Eif5a2	ENSMUSG00000050192
Rpl22l1	ENSMUSG00000039221
Sec62	ENSMUSG00000027706
Phc3	ENSMUSG00000037652
Prkci	ENSMUSG00000037643
Skil	ENSMUSG00000027660
Zmat3	ENSMUSG00000027663
Pik3ca	ENSMUSG00000027665
Mfn1	ENSMUSG00000027668
Mrpl47	ENSMUSG00000037531
Ndufb5	ENSMUSG00000027673
Ttc14	ENSMUSG00000027677
Fxr1	ENSMUSG00000027680
Dnajc19	ENSMUSG00000027679
Sox2	ENSMUSG00000074637
Atp11b	ENSMUSG00000037400
Mccc1	ENSMUSG00000027709
Acad9	ENSMUSG00000027710
Anxa5	ENSMUSG00000027712
Exosc9	ENSMUSG00000027714
Ccna2	ENSMUSG00000027715
Spry1	ENSMUSG00000037211
Ankrd50	ENSMUSG00000044864
Intu	ENSMUSG00000060798
Plk4	ENSMUSG00000025758
Pgrmc2	ENSMUSG00000049940
Jade1	ENSMUSG00000025764
Sclt1	ENSMUSG00000059834
Pcdh18	ENSMUSG00000037892
Elf2	ENSMUSG00000037174
Ndufc1	ENSMUSG00000037152
Setd7	ENSMUSG00000037111
Foxo1	ENSMUSG00000044167
Cog6	ENSMUSG00000027742
Proser1	ENSMUSG00000049504
Ufm1	ENSMUSG00000027746
Supt20	ENSMUSG00000027751
Exosc8	ENSMUSG00000027752
Alg5	ENSMUSG00000036632
Spg20	ENSMUSG00000036580
Dclk1	ENSMUSG00000027797
Wwtr1	ENSMUSG00000027803
Commd2	ENSMUSG00000036513
Rnf13	ENSMUSG00000036503
Pfn2	ENSMUSG00000027805
Serp1	ENSMUSG00000027808
Eif2a	ENSMUSG00000027810
Dhx36	ENSMUSG00000027770
Slc33a1	ENSMUSG00000027822
Gmps	ENSMUSG00000027823
Ssr3	ENSMUSG00000027828
Tiparp	ENSMUSG00000034640
Ccnl1	ENSMUSG00000027829
Rsrc1	ENSMUSG00000034544
Gfm1	ENSMUSG00000027774
Mfsd1	ENSMUSG00000027775
Smc4	ENSMUSG00000034349
Trim59	ENSMUSG00000034317
Kpna4	ENSMUSG00000027782
Nmd3	ENSMUSG00000027787
Pdcd10	ENSMUSG00000027835
Golim4	ENSMUSG00000034109
Rapgef2	ENSMUSG00000062232
Fnip2	ENSMUSG00000061175
Ppid	ENSMUSG00000027804
Etfdh	ENSMUSG00000027809
Map9	ENSMUSG00000033900
Plrg1	ENSMUSG00000027998
Sfrp2	ENSMUSG00000027996
Mnd1	ENSMUSG00000033752
Arfip1	ENSMUSG00000074513
Fbxw7	ENSMUSG00000028086
Gatb	ENSMUSG00000028085
Sh3d19	ENSMUSG00000028082
Rps3a1	ENSMUSG00000028081
Kirrel	ENSMUSG00000041734
Etv3	ENSMUSG00000003382
Prcc	ENSMUSG00000004895
Hdgf	ENSMUSG00000004897
Rrnad1	ENSMUSG00000004896
Isg20l2	ENSMUSG00000048039
Nes	ENSMUSG00000004891
Gpatch4	ENSMUSG00000028069
Iqgap3	ENSMUSG00000028068
Mef2d	ENSMUSG00000001419
Tsacc	ENSMUSG00000010538
Cct3	ENSMUSG00000001416
Glmp	ENSMUSG00000001418
Smg5	ENSMUSG00000001415
Pmf1	ENSMUSG00000028066
Slc25a44	ENSMUSG00000050144
Lmna	ENSMUSG00000028063
Rab25	ENSMUSG00000008601
Lamtor2	ENSMUSG00000028062
Ubqln4	ENSMUSG00000008604
Msto1	ENSMUSG00000068922
Dap3	ENSMUSG00000068921
Clk2	ENSMUSG00000068917
Scamp3	ENSMUSG00000028049
Fam189b	ENSMUSG00000032657
Mtx1	ENSMUSG00000064068
Krtcap2	ENSMUSG00000042747
Slc50a1	ENSMUSG00000027953
Shc1	ENSMUSG00000042626
Adar	ENSMUSG00000027951
Ube2q1	ENSMUSG00000042572
Hax1	ENSMUSG00000027944
Rps27	ENSMUSG00000090733
Rab13	ENSMUSG00000027935
Jtb	ENSMUSG00000027937
Slc39a1	ENSMUSG00000052310
Crtc2	ENSMUSG00000027936
Gatad2b	ENSMUSG00000042390
Slc27a3	ENSMUSG00000027932
Ints3	ENSMUSG00000027933
Ilf2	ENSMUSG00000001016
Snapin	ENSMUSG00000001018
Chtop	ENSMUSG00000001017
S100a1	ENSMUSG00000044080
S100a10	ENSMUSG00000041959
Them4	ENSMUSG00000028145
Mrpl9	ENSMUSG00000028140
Cgn	ENSMUSG00000068876
Psmb4	ENSMUSG00000005779
Pi4kb	ENSMUSG00000038861
Zfp687	ENSMUSG00000019338
Psmd4	ENSMUSG00000005625
Pip5k1a	ENSMUSG00000028126
Vps72	ENSMUSG00000008958
Gabpb2	ENSMUSG00000038766
Mllt11	ENSMUSG00000053192
Cdc42se1	ENSMUSG00000046722
Cers2	ENSMUSG00000015714
Arnt	ENSMUSG00000015522
Ensa	ENSMUSG00000038619
Mcl1	ENSMUSG00000038612
Rprd2	ENSMUSG00000028106
Prpf3	ENSMUSG00000015748
Mrps21	ENSMUSG00000054312
Ciart	ENSMUSG00000038550
Aph1a	ENSMUSG00000015750
Otud7b	ENSMUSG00000038495
Sf3b4	ENSMUSG00000068856
Pex11b	ENSMUSG00000028102
Pias3	ENSMUSG00000028101
Polr3c	ENSMUSG00000028099
Rnf115	ENSMUSG00000028098
Gpr89	ENSMUSG00000028096
Acp6	ENSMUSG00000028093
Chd1l	ENSMUSG00000028089
Prkab2	ENSMUSG00000038205
Pde4dip	ENSMUSG00000038170
Sec22b	ENSMUSG00000027879
Notch2	ENSMUSG00000027878
Wdr3	ENSMUSG00000033285
Gdap2	ENSMUSG00000027865
Man1a2	ENSMUSG00000008763
Ttf2	ENSMUSG00000033222
Ptgfrn	ENSMUSG00000027864
Igsf3	ENSMUSG00000042035
Atp1a1	ENSMUSG00000033161
Vangl1	ENSMUSG00000027860
Sike1	ENSMUSG00000027854
Csde1	ENSMUSG00000068823
Bcas2	ENSMUSG00000005687
Trim33	ENSMUSG00000033014
Hipk1	ENSMUSG00000008730
Dclre1b	ENSMUSG00000027845
Ap4b1	ENSMUSG00000032952
Phtf1	ENSMUSG00000058388
Lrig2	ENSMUSG00000032913
Slc16a1	ENSMUSG00000032902
Mov10	ENSMUSG00000002227
Capza1	ENSMUSG00000070372
Cttnbp2nl	ENSMUSG00000062127
Ddx20	ENSMUSG00000027905
Rap1a	ENSMUSG00000068798
Atp5f1	ENSMUSG00000000563
Wdr77	ENSMUSG00000000561
Cept1	ENSMUSG00000040774
Dram2	ENSMUSG00000027900
Lamtor5	ENSMUSG00000087260
Rbm15	ENSMUSG00000048109
Strip1	ENSMUSG00000014601
Ahcyl1	ENSMUSG00000027893
Gstm5	ENSMUSG00000004032
Ampd2	ENSMUSG00000027889
Atxn7l2	ENSMUSG00000048997
Psma5	ENSMUSG00000068749
Sort1	ENSMUSG00000068747
Psrc1	ENSMUSG00000068744
Sars	ENSMUSG00000068739
Tmem167b	ENSMUSG00000068732
Taf13	ENSMUSG00000048100
Clcc1	ENSMUSG00000027884
Gpsm2	ENSMUSG00000027883
Prpf38b	ENSMUSG00000027881
Prmt6	ENSMUSG00000049300
Rnpc3	ENSMUSG00000027981
Dph5	ENSMUSG00000033554
Slc30a7	ENSMUSG00000054414
Extl2	ENSMUSG00000027963
Cdc14a	ENSMUSG00000033502
Rtca	ENSMUSG00000000339
Dbt	ENSMUSG00000000340
Sass6	ENSMUSG00000027959
Agl	ENSMUSG00000033400
Snx7	ENSMUSG00000028007
Alg14	ENSMUSG00000039887
Cnn3	ENSMUSG00000053931
Abcd3	ENSMUSG00000028127
Gclm	ENSMUSG00000028124
Dnttip2	ENSMUSG00000039756
Bcar3	ENSMUSG00000028121
Fnbp1l	ENSMUSG00000039735
Pde5a	ENSMUSG00000053965
Usp53	ENSMUSG00000039701
Camk2d	ENSMUSG00000053819
Larp7	ENSMUSG00000027968
Zgrf1	ENSMUSG00000051278
Ap1ar	ENSMUSG00000074238
Elovl6	ENSMUSG00000041220
Gar1	ENSMUSG00000028010
Pla2g12a	ENSMUSG00000027999
Casp6	ENSMUSG00000027997
Ostc	ENSMUSG00000041084
Rpl34	ENSMUSG00000062006
Lef1	ENSMUSG00000027985
Hadh	ENSMUSG00000027984
Papss1	ENSMUSG00000028032
Aimp1	ENSMUSG00000028029
Tbck	ENSMUSG00000028030
Gstcd	ENSMUSG00000028018
Ints12	ENSMUSG00000028016
Ppa2	ENSMUSG00000028013
Cenpe	ENSMUSG00000045328
Ube2d3	ENSMUSG00000078578
Ppp3ca	ENSMUSG00000028161
H2afz	ENSMUSG00000037894
Dnajb14	ENSMUSG00000074212
Lamtor3	ENSMUSG00000091512
Trmt10a	ENSMUSG00000004127
Adh5	ENSMUSG00000028138
Metap1	ENSMUSG00000005813
Tspan5	ENSMUSG00000028152
Rap1gds1	ENSMUSG00000028149
Pdlim5	ENSMUSG00000028273
Gtf2b	ENSMUSG00000028271
Pkn2	ENSMUSG00000004591
Lmo4	ENSMUSG00000028266
Hs2st1	ENSMUSG00000040151
Sh3glb1	ENSMUSG00000037062
Odf2l	ENSMUSG00000028256
Znhit6	ENSMUSG00000074182
Ddah1	ENSMUSG00000028194
