	0
rna_ft0	-0.12922898
rna_ft1	2.290711
rna_ft2	-0.050057292
rna_ft3	-0.018201757
rna_ft4	0.09399578
rna_ft5	0.52055275
rna_ft6	0.028814355
rna_ft7	0.024554824
rna_ft8	-0.13840364
rna_ft9	0.54628724
rna_ft10	-0.10810946
rna_ft11	3.612725
rna_ft12	-0.19882049
rna_ft13	-0.7653836
rna_ft14	0.05444755
rna_ft15	-0.51429623
rna_ft16	0.41256642
rna_ft17	0.32900822
rna_ft18	0.21269974
rna_ft19	-0.47204867
rna_ft20	-0.039499644
rna_ft21	0.17619643
rna_ft22	0.46021795
rna_ft23	2.2822788
rna_ft24	-0.55938184
rna_ft25	-0.9130371
rna_ft26	0.06559663
rna_ft27	-0.87829113
rna_ft28	-0.5619418
rna_ft29	-0.6717362
rna_ft30	1.1590701
rna_ft31	2.801024
rna_ft32	0.8127661
rna_ft33	-1.1985763
rna_ft34	1.4062607
rna_ft35	-0.49403483
rna_ft36	-0.318065
rna_ft37	0.9322624
rna_ft38	0.24076958
rna_ft39	-1.7139689
rna_ft40	0.23399
rna_ft41	0.0872017
rna_ft42	0.07714777
rna_ft43	0.07956992
rna_ft44	0.5292036
rna_ft45	0.29551607
rna_ft46	1.9000714
rna_ft47	0.61606157
rna_ft48	-0.6778976
rna_ft49	2.1757164
rna_ft50	-0.540779
rna_ft51	-0.24674955
rna_ft52	1.0401247
rna_ft53	-0.19220625
rna_ft54	-0.9471383
rna_ft55	3.2751057
rna_ft56	-0.5123625
rna_ft57	-0.10414734
rna_ft58	0.87535536
rna_ft59	-1.8042681
rna_ft60	0.113573
rna_ft61	0.89170676
rna_ft62	-0.18976097
rna_ft63	0.060001075
rna_ft64	-0.4467528
rna_ft65	-0.4064963
rna_ft66	-0.6528229
rna_ft67	1.4686196
rna_ft68	-0.6575061
rna_ft69	1.4500976
rna_ft70	0.7836523
rna_ft71	0.42958388
rna_ft72	-0.6277882
rna_ft73	-0.36475715
rna_ft74	-0.8327373
rna_ft75	0.9081491
rna_ft76	0.031006511
rna_ft77	0.7510961
rna_ft78	-0.25643843
rna_ft79	-0.84256744
rna_ft80	-1.007718
rna_ft81	0.54921544
rna_ft82	-0.48365253
rna_ft83	2.7490735
rna_ft84	-0.34470534
rna_ft85	0.3064194
rna_ft86	0.3952636
rna_ft87	0.28171414
rna_ft88	-1.7614043
rna_ft89	0.051258374
rna_ft90	0.6676308
rna_ft91	0.72974646
rna_ft92	-0.059840776
rna_ft93	-0.67831445
rna_ft94	-2.889876
rna_ft95	-1.1340319
rna_ft96	0.071682155
rna_ft97	0.62591136
rna_ft98	-0.4793776
rna_ft99	-0.107687995
rna_ft100	0.78285867
rna_ft101	-0.4284532
rna_ft102	0.23472433
rna_ft103	-1.024183
rna_ft104	0.3764888
rna_ft105	-0.15927188
rna_ft106	3.1479316
rna_ft107	0.31489524
rna_ft108	-1.0657417
rna_ft109	1.2120844
rna_ft110	-0.4817205
rna_ft111	-0.57845986
rna_ft112	0.08215457
rna_ft113	0.7564031
rna_ft114	-0.5401944
rna_ft115	0.24341667
rna_ft116	0.43818575
rna_ft117	2.3460503
rna_ft118	0.4452013
rna_ft119	1.1372044
rna_ft120	-0.9664766
rna_ft121	0.6783884
rna_ft122	2.4941478
rna_ft123	1.4381928
rna_ft124	-0.37450564
rna_ft125	0.5180863
rna_ft126	0.81594294
rna_ft127	0.68495953
rna_ft128	-1.4247671
rna_ft129	0.91128254
rna_ft130	1.4542222
rna_ft131	1.0821656
rna_ft132	-0.40902942
rna_ft133	-0.7264435
rna_ft134	0.85201293
rna_ft135	-1.0846527
rna_ft136	0.727008
rna_ft137	0.8686142
rna_ft138	-1.3019835
rna_ft139	1.515976
rna_ft140	-1.0634458
rna_ft141	-0.6286174
rna_ft142	0.3999495
rna_ft143	0.0066116466
rna_ft144	0.670202
rna_ft145	0.6873735
rna_ft146	0.010969833
rna_ft147	0.8686074
rna_ft148	-1.7081617
rna_ft149	0.22285452
rna_ft150	0.042324696
rna_ft151	-0.4163565
rna_ft152	-0.216661
rna_ft153	-0.4243874
rna_ft154	0.079911135
rna_ft155	0.0662626
rna_ft156	-0.7426492
rna_ft157	0.7715898
rna_ft158	-0.6735972
rna_ft159	0.5981709
rna_ft160	0.2928884
rna_ft161	0.66698515
rna_ft162	-0.6715367
rna_ft163	2.1864314
rna_ft164	-0.53815746
rna_ft165	-0.9430782
rna_ft166	0.82602835
rna_ft167	-0.5716367
rna_ft168	0.32712045
rna_ft169	-0.42559895
rna_ft170	0.6144988
rna_ft171	-0.34699172
rna_ft172	-0.7939767
rna_ft173	-0.80089694
rna_ft174	0.015826792
rna_ft175	-0.24689369
rna_ft176	0.87209016
rna_ft177	-0.59167445
rna_ft178	1.9713236
rna_ft179	0.47882694
rna_ft180	0.6554767
rna_ft181	-1.7239456
rna_ft182	0.040889688
rna_ft183	-1.3054639
rna_ft184	0.0243042
rna_ft185	0.59370553
rna_ft186	2.6561284
rna_ft187	1.4157141
rna_ft188	-2.5913475
rna_ft189	0.52426684
rna_ft190	-0.5326667
rna_ft191	2.0490885
rna_ft192	-0.13011208
rna_ft193	0.5933011
rna_ft194	0.6136421
rna_ft195	-0.61857235
rna_ft196	-0.030796412
rna_ft197	-2.480331
rna_ft198	-1.1541868
rna_ft199	0.8036226
rna_ft200	1.2681224
rna_ft201	-1.5989354
rna_ft202	-0.35462528
rna_ft203	0.06910654
rna_ft204	1.1770849
rna_ft205	1.2042887
rna_ft206	-0.42640057
rna_ft207	-2.3930442
rna_ft208	1.1731884
rna_ft209	1.4776565
rna_ft210	0.16863091
rna_ft211	1.1938822
rna_ft212	-0.0889407
rna_ft213	-0.8579108
rna_ft214	-1.9382913
rna_ft215	0.15895775
rna_ft216	-0.2637095
rna_ft217	0.2576176
rna_ft218	-0.59232795
rna_ft219	-0.024491815
rna_ft220	0.6848756
rna_ft221	1.8751528
rna_ft222	0.9648037
rna_ft223	-0.44650435
rna_ft224	0.6180483
rna_ft225	0.8172008
