	0
rna_ft0	0.012136316
rna_ft1	0.011405277
rna_ft2	0.012600708
rna_ft3	0.012301803
rna_ft4	0.015708208
rna_ft5	0.014383316
rna_ft6	0.018984294
rna_ft7	0.0146307945
rna_ft8	0.019962262
rna_ft9	0.017417956
rna_ft10	0.010555362
rna_ft11	0.028221656
rna_ft12	0.01753807
rna_ft13	0.014425993
rna_ft14	0.015486288
rna_ft15	0.019092655
rna_ft16	0.013151264
rna_ft17	0.01707511
rna_ft18	0.015626287
rna_ft19	0.012558413
rna_ft20	0.013078213
rna_ft21	0.019806957
rna_ft22	0.018514205
rna_ft23	0.012979507
rna_ft24	0.007827997
rna_ft25	0.017074203
rna_ft26	0.017529393
rna_ft27	0.016320372
rna_ft28	0.010893297
rna_ft29	0.021484708
rna_ft30	0.031752538
rna_ft31	0.013058186
rna_ft32	0.012523258
rna_ft33	0.02478845
rna_ft34	0.047827385
rna_ft35	0.0056719542
rna_ft36	0.018468285
rna_ft37	0.015250635
rna_ft38	0.010421467
rna_ft39	0.018170547
rna_ft40	0.014177179
rna_ft41	0.019899797
rna_ft42	0.013754869
rna_ft43	0.009352493
rna_ft44	0.023949098
rna_ft45	0.0076078894
rna_ft46	0.033955216
rna_ft47	0.006900537
rna_ft48	0.019994844
rna_ft49	0.031964254
rna_ft50	0.00999018
rna_ft51	0.009605909
rna_ft52	0.028261185
rna_ft53	0.02634282
rna_ft54	0.024541045
rna_ft55	0.02288332
rna_ft56	0.016875934
rna_ft57	0.006997204
rna_ft58	0.01576066
rna_ft59	0.021474492
rna_ft60	0.0057798387
rna_ft61	0.024498414
rna_ft62	0.018205047
rna_ft63	0.009453225
rna_ft64	0.023796653
rna_ft65	0.020360565
rna_ft66	0.02188158
rna_ft67	0.014598322
rna_ft68	0.057551432
rna_ft69	0.01981759
rna_ft70	0.01681142
rna_ft71	0.011813355
rna_ft72	0.013229251
rna_ft73	0.013357329
rna_ft74	0.015784264
rna_ft75	0.015246439
rna_ft76	0.012665177
rna_ft77	0.0105232475
rna_ft78	0.03190899
rna_ft79	0.012488842
rna_ft80	0.019614791
rna_ft81	0.008355049
rna_ft82	0.020404458
rna_ft83	0.02241435
rna_ft84	0.030416679
rna_ft85	0.019815778
rna_ft86	0.0143352505
rna_ft87	0.01583147
rna_ft88	0.0597697
rna_ft89	0.020924712
rna_ft90	0.011484766
rna_ft91	0.03105409
rna_ft92	0.013726425
rna_ft93	0.010559797
rna_ft94	0.038130246
rna_ft95	0.015895605
rna_ft96	0.013338757
rna_ft97	0.016098833
rna_ft98	0.01512506
rna_ft99	0.012895441
rna_ft100	0.030045664
rna_ft101	0.010442734
rna_ft102	0.006350422
rna_ft103	0.014651823
rna_ft104	0.0066068172
rna_ft105	0.01020211
rna_ft106	0.019435763
rna_ft107	0.012358641
rna_ft108	0.006437874
rna_ft109	0.013199377
rna_ft110	0.020479202
rna_ft111	0.020848561
rna_ft112	0.021721292
rna_ft113	0.01950407
rna_ft114	0.014779138
rna_ft115	0.010821676
rna_ft116	0.010904002
rna_ft117	0.014079189
rna_ft118	0.023498964
rna_ft119	0.013601589
rna_ft120	0.02427268
rna_ft121	0.01530571
rna_ft122	0.018407393
rna_ft123	0.015117454
rna_ft124	0.024097443
rna_ft125	0.009835636
rna_ft126	0.025450885
rna_ft127	0.022859668
rna_ft128	0.025747012
rna_ft129	0.04659624
rna_ft130	0.01910286
rna_ft131	0.018353939
rna_ft132	0.017352963
rna_ft133	0.02160797
rna_ft134	0.025607204
rna_ft135	0.0081373695
rna_ft136	0.029045105
rna_ft137	0.013451815
rna_ft138	0.049615763
rna_ft139	0.022073174
rna_ft140	0.024168443
rna_ft141	0.0058511733
rna_ft142	0.022162437
rna_ft143	0.015495825
rna_ft144	0.021309089
rna_ft145	0.028848052
rna_ft146	0.018954968
rna_ft147	0.027851963
rna_ft148	0.028577853
rna_ft149	0.011350107
rna_ft150	0.026493836
rna_ft151	0.022712898
rna_ft152	0.014665604
rna_ft153	0.012959028
rna_ft154	0.0105314255
rna_ft155	0.0103409765
rna_ft156	0.010190582
rna_ft157	0.021826815
rna_ft158	0.04007716
rna_ft159	0.020564651
rna_ft160	0.025076102
rna_ft161	0.013723326
rna_ft162	0.050065614
rna_ft163	0.023328876
rna_ft164	0.011168003
rna_ft165	0.01475091
rna_ft166	0.014649034
rna_ft167	0.016013527
rna_ft168	0.011556792
rna_ft169	0.0047117234
rna_ft170	0.014146852
rna_ft171	0.028834391
rna_ft172	0.01564436
rna_ft173	0.01796024
rna_ft174	0.016207743
rna_ft175	0.021452952
rna_ft176	0.020971764
rna_ft177	0.039243698
rna_ft178	0.022706676
rna_ft179	0.030468082
rna_ft180	0.027564257
rna_ft181	0.009422111
rna_ft182	0.035084654
rna_ft183	0.017020822
rna_ft184	0.038995646
rna_ft185	0.017344093
rna_ft186	0.010399652
rna_ft187	0.02621739
rna_ft188	0.05664277
rna_ft189	0.018673206
rna_ft190	0.015350533
rna_ft191	0.029225778
rna_ft192	0.014977694
rna_ft193	0.026041936
rna_ft194	0.019749928
rna_ft195	0.004779482
rna_ft196	0.019206857
rna_ft197	0.026259948
rna_ft198	0.039946936
rna_ft199	0.016518593
rna_ft200	0.014857531
rna_ft201	0.025209188
rna_ft202	0.0159127
rna_ft203	0.01172328
rna_ft204	0.02775674
rna_ft205	0.02981944
rna_ft206	0.017391706
rna_ft207	0.040151022
rna_ft208	0.0188447
rna_ft209	0.022505283
rna_ft210	0.0151902195
rna_ft211	0.024108838
rna_ft212	0.02025411
rna_ft213	0.016267013
rna_ft214	0.022196054
rna_ft215	0.010904121
rna_ft216	0.014338493
rna_ft217	0.03244133
rna_ft218	0.013604784
rna_ft219	0.021492671
rna_ft220	0.032498073
rna_ft221	0.02431817
rna_ft222	0.022143792
rna_ft223	0.018196583
rna_ft224	0.013529157
rna_ft225	0.012349856
rna_ft226	0.0088827135
rna_ft227	0.011711026
rna_ft228	0.018094635
rna_ft229	0.009960795
rna_ft230	0.007067776
rna_ft231	0.014755869
rna_ft232	0.023176719
rna_ft233	0.007884121
rna_ft234	0.018098831
rna_ft235	0.018071344
rna_ft236	0.013365555
rna_ft237	0.018335272
rna_ft238	0.018256187
rna_ft239	0.017061472
rna_ft240	0.028387595
rna_ft241	0.020786334
rna_ft242	0.018317938
rna_ft243	0.015596533
rna_ft244	0.05067129
rna_ft245	0.020099819
rna_ft246	0.013582421
rna_ft247	0.007075763
rna_ft248	0.012288642
rna_ft249	0.028276253
rna_ft250	0.018274784
rna_ft251	0.017788839
rna_ft252	0.030222673
rna_ft253	0.02359805
rna_ft254	0.020284986
rna_ft255	0.017506266
rna_ft256	0.0204494
rna_ft257	0.021625519
rna_ft258	0.048231315
rna_ft259	0.009008169
rna_ft260	0.021420002
rna_ft261	0.014682579
rna_ft262	0.0073150517
rna_ft263	0.016350174
rna_ft264	0.028752137
rna_ft265	0.021582603
rna_ft266	0.01054058
rna_ft267	0.03702209
rna_ft268	0.027404929
rna_ft269	0.02833109
rna_ft270	0.046531677
rna_ft271	0.013547277
rna_ft272	0.0139771225
rna_ft273	0.022274781
rna_ft274	0.014248228
rna_ft275	0.0128256325
rna_ft276	0.014267159
rna_ft277	0.018108655
rna_ft278	0.009681416
rna_ft279	0.017385626
rna_ft280	0.011585474
rna_ft281	0.005154848
rna_ft282	0.022672225
rna_ft283	0.0048738956
rna_ft284	0.008043503
rna_ft285	0.023603344
rna_ft286	0.013558495
rna_ft287	0.024720836
rna_ft288	0.017647218
rna_ft289	0.019620229
rna_ft290	0.0115226265
rna_ft291	0.013837886
rna_ft292	0.011368227
rna_ft293	0.021216298
rna_ft294	0.013202667
rna_ft295	0.011918974
rna_ft296	0.03651438
rna_ft297	0.014367437
rna_ft298	0.01480031
rna_ft299	0.011743451
rna_ft300	0.029870916
rna_ft301	0.017133784
rna_ft302	0.009296274
rna_ft303	0.017334461
rna_ft304	0.007692051
rna_ft305	0.017365407
rna_ft306	0.008684779
rna_ft307	0.025187278
rna_ft308	0.0095870495
rna_ft309	0.011157179
rna_ft310	0.018393349
rna_ft311	0.03679681
rna_ft312	0.023868274
rna_ft313	0.011431217
rna_ft314	0.040657092
rna_ft315	0.010083628
rna_ft316	0.008956766
rna_ft317	0.011664843
rna_ft318	0.014406657
rna_ft319	0.020949315
rna_ft320	0.015136242
rna_ft321	0.0135298725
rna_ft322	0.007028532
rna_ft323	0.022545625
rna_ft324	0.007875967
rna_ft325	0.0127963545
rna_ft326	0.011172533
rna_ft327	0.033572532
rna_ft328	0.014383745
rna_ft329	0.016815865
rna_ft330	0.009341526
rna_ft331	0.010770368
rna_ft332	0.0077833175
rna_ft333	0.016765118
rna_ft334	0.024546469
rna_ft335	0.019997168
rna_ft336	0.028851938
rna_ft337	0.043142635
rna_ft338	0.0151331425
rna_ft339	0.029914236
rna_ft340	0.026810646
rna_ft341	0.009733081
rna_ft342	0.028907109
rna_ft343	0.009952354
rna_ft344	0.023509407
rna_ft345	0.011819196
rna_ft346	0.010492945
rna_ft347	0.06529565
rna_ft348	0.01591351
rna_ft349	0.010219884
rna_ft350	0.013196898
rna_ft351	0.055748273
rna_ft352	0.012135076
rna_ft353	0.017364359
rna_ft354	0.021242118
rna_ft355	0.013479519
rna_ft356	0.024318885
rna_ft357	0.02157402
rna_ft358	0.021000862
rna_ft359	0.019491911
rna_ft360	0.01636753
rna_ft361	0.011852491
rna_ft362	0.013557196
rna_ft363	0.0060468675
rna_ft364	0.036549114
rna_ft365	0.014310169
rna_ft366	0.010638857
rna_ft367	0.011722875
rna_ft368	0.00546326
rna_ft369	0.01107955
rna_ft370	0.026701093
rna_ft371	0.014423156
rna_ft372	0.045369912
rna_ft373	0.0108908415
rna_ft374	0.0091418745
rna_ft375	0.02774415
rna_ft376	0.015793752
rna_ft377	0.027187634
rna_ft378	0.019073367
rna_ft379	0.009932661
rna_ft380	0.004935837
rna_ft381	0.015392113
rna_ft382	0.018816317
rna_ft383	0.016588569
rna_ft384	0.012822199
rna_ft385	0.012495851
rna_ft386	0.022263145
rna_ft387	0.027283192
rna_ft388	0.0217988
rna_ft389	0.015219355
rna_ft390	0.011588072
rna_ft391	0.009907484
rna_ft392	0.007656741
rna_ft393	0.02105074
rna_ft394	0.014851773
rna_ft395	0.019353818
rna_ft396	0.012478733
rna_ft397	0.02559476
rna_ft398	0.0065907002
rna_ft399	0.014989662
rna_ft400	0.01744693
rna_ft401	0.010109377
rna_ft402	0.02331376
rna_ft403	0.018643474
rna_ft404	0.011930418
rna_ft405	0.01728711
rna_ft406	0.019589305
rna_ft407	0.019718837
rna_ft408	0.039732885
rna_ft409	0.017794322
rna_ft410	0.03249035
rna_ft411	0.020755148
rna_ft412	0.014930439
rna_ft413	0.017915774
rna_ft414	0.025229549
rna_ft415	0.012375021
rna_ft416	0.018524528
rna_ft417	0.005275774
rna_ft418	0.022469234
rna_ft419	0.018182874
rna_ft420	0.021873236
rna_ft421	0.01746583
