	0
ENSMUSG00000000056	-0.33945704
ENSMUSG00000000078	0.30192977
ENSMUSG00000000085	0.14093941
ENSMUSG00000000088	-0.086449414
ENSMUSG00000000131	0.30778545
ENSMUSG00000000148	-0.20361777
ENSMUSG00000000149	0.09207593
ENSMUSG00000000168	-0.04124491
ENSMUSG00000000171	-0.16594908
ENSMUSG00000000184	-0.2938489
ENSMUSG00000000194	0.38729635
ENSMUSG00000000275	0.1384377
ENSMUSG00000000282	-0.10718387
ENSMUSG00000000295	-0.4440182
ENSMUSG00000000296	-0.37121016
ENSMUSG00000000303	-0.078589804
ENSMUSG00000000325	0.22179922
ENSMUSG00000000326	0.015928637
ENSMUSG00000000339	0.046682883
ENSMUSG00000000340	0.25485858
ENSMUSG00000000346	-0.42064905
ENSMUSG00000000365	-0.41809946
ENSMUSG00000000384	-0.07020246
ENSMUSG00000000399	0.0057693855
ENSMUSG00000000409	-0.1437875
ENSMUSG00000000420	-0.39888555
ENSMUSG00000000439	0.29745793
ENSMUSG00000000441	0.12993206
ENSMUSG00000000552	0.0014172968
ENSMUSG00000000555	-0.18661162
ENSMUSG00000000561	-0.052337
ENSMUSG00000000563	-0.36757556
ENSMUSG00000000568	0.34577706
ENSMUSG00000000581	-0.49289757
ENSMUSG00000000594	-0.19002393
ENSMUSG00000000600	-0.38892928
ENSMUSG00000000605	-0.009869829
ENSMUSG00000000628	1.076195
ENSMUSG00000000631	-0.30711824
ENSMUSG00000000711	0.2524478
ENSMUSG00000000730	-0.3917046
ENSMUSG00000000740	0.38513905
ENSMUSG00000000743	-0.20094928
ENSMUSG00000000751	-0.033247475
ENSMUSG00000000759	-0.31889978
ENSMUSG00000000776	0.19238491
ENSMUSG00000000782	-0.21846636
ENSMUSG00000000804	0.74110305
ENSMUSG00000000805	0.06989288
ENSMUSG00000000823	-0.056015205
ENSMUSG00000000826	-0.110913575
ENSMUSG00000000827	0.0055009015
ENSMUSG00000000838	-0.05811406
ENSMUSG00000000881	-0.48028404
ENSMUSG00000000884	0.04807225
ENSMUSG00000000902	-0.052450527
ENSMUSG00000000916	-0.34909347
ENSMUSG00000000958	0.449859
ENSMUSG00000000959	0.08685984
ENSMUSG00000000976	0.335535
ENSMUSG00000001016	0.30367017
ENSMUSG00000001017	-0.75361365
ENSMUSG00000001018	0.19920428
ENSMUSG00000001034	-0.005410727
ENSMUSG00000001036	-0.17988917
ENSMUSG00000001039	-0.11363164
ENSMUSG00000001054	0.072753005
ENSMUSG00000001056	-0.71201175
ENSMUSG00000001082	0.13009955
ENSMUSG00000001089	-0.07138413
ENSMUSG00000001100	-0.3996516
ENSMUSG00000001105	-0.080849476
ENSMUSG00000001120	-0.16680911
ENSMUSG00000001134	-0.19664337
ENSMUSG00000001138	-0.1082149
ENSMUSG00000001143	-0.06561564
ENSMUSG00000001150	-0.1027961
ENSMUSG00000001151	0.4027328
ENSMUSG00000001157	-0.100648865
ENSMUSG00000001158	0.6068186
ENSMUSG00000001175	-0.021041196
ENSMUSG00000001211	-0.26549482
ENSMUSG00000001229	0.011785472
ENSMUSG00000001240	-0.34464076
ENSMUSG00000001247	-0.3429102
ENSMUSG00000001248	-0.470783
ENSMUSG00000001249	-0.26870736
ENSMUSG00000001270	-0.312562
ENSMUSG00000001285	0.18542555
ENSMUSG00000001288	-0.24452734
ENSMUSG00000001300	-0.030422306
ENSMUSG00000001305	0.08736284
ENSMUSG00000001376	-0.18991539
ENSMUSG00000001380	0.1202036
ENSMUSG00000001403	-0.00547026
ENSMUSG00000001415	-0.34332275
ENSMUSG00000001416	0.27071413
ENSMUSG00000001418	-0.309306
ENSMUSG00000001419	0.17674267
ENSMUSG00000001435	0.18497293
ENSMUSG00000001440	0.083461955
ENSMUSG00000001441	-0.32678047
ENSMUSG00000001445	0.09021791
ENSMUSG00000001467	0.15938106
ENSMUSG00000001472	-0.19950807
ENSMUSG00000001473	-0.44489592
ENSMUSG00000001507	-0.11471436
ENSMUSG00000001517	0.35708863
ENSMUSG00000001518	-0.0703897
ENSMUSG00000001521	-0.22843543
ENSMUSG00000001524	-0.047325324
ENSMUSG00000001542	-0.113228895
ENSMUSG00000001552	0.08877481
ENSMUSG00000001555	-0.3998575
ENSMUSG00000001569	-0.33322972
ENSMUSG00000001576	0.29737777
ENSMUSG00000001604	-0.51032
ENSMUSG00000001630	0.056704544
ENSMUSG00000001632	-0.06456532
ENSMUSG00000001642	-0.52852076
ENSMUSG00000001666	-0.35149956
ENSMUSG00000001674	0.10028827
ENSMUSG00000001687	-0.074348636
ENSMUSG00000001700	0.30706877
ENSMUSG00000001707	-0.04757615
ENSMUSG00000001750	0.66371834
ENSMUSG00000001755	-0.09378638
ENSMUSG00000001761	0.052022934
