	0
ENSMUSG00000000056	0.22074318
ENSMUSG00000000078	0.03928677
ENSMUSG00000000085	-0.14174268
ENSMUSG00000000088	-0.015322454
ENSMUSG00000000131	-0.19950661
ENSMUSG00000000148	0.5684604
ENSMUSG00000000149	0.31150523
ENSMUSG00000000168	-0.43524164
ENSMUSG00000000171	-0.004262134
ENSMUSG00000000184	0.49532193
ENSMUSG00000000194	0.21822906
ENSMUSG00000000275	-0.48306656
ENSMUSG00000000282	-0.08405901
ENSMUSG00000000295	-0.085753396
ENSMUSG00000000296	0.47103563
ENSMUSG00000000303	-0.53734934
ENSMUSG00000000325	0.33541667
ENSMUSG00000000326	0.22678263
ENSMUSG00000000339	-0.004032639
ENSMUSG00000000340	-0.2850911
ENSMUSG00000000346	-0.062716864
ENSMUSG00000000365	-0.43941236
ENSMUSG00000000384	-0.41493624
ENSMUSG00000000399	0.040258683
ENSMUSG00000000409	0.5264152
ENSMUSG00000000420	0.2458353
ENSMUSG00000000439	0.34444326
ENSMUSG00000000441	0.1357507
ENSMUSG00000000552	-0.42986146
ENSMUSG00000000555	0.099779375
ENSMUSG00000000561	-0.25803462
ENSMUSG00000000563	-0.67236775
ENSMUSG00000000568	0.32182056
ENSMUSG00000000581	0.521012
ENSMUSG00000000594	0.31023398
ENSMUSG00000000600	0.68430424
ENSMUSG00000000605	0.2535513
ENSMUSG00000000628	0.22024198
ENSMUSG00000000631	-0.07522532
ENSMUSG00000000711	0.01268487
ENSMUSG00000000730	-1.7111938
ENSMUSG00000000740	-1.0946383
ENSMUSG00000000743	0.1534214
ENSMUSG00000000751	0.0056479177
ENSMUSG00000000759	0.24247876
ENSMUSG00000000776	0.07814017
ENSMUSG00000000782	0.18981843
ENSMUSG00000000804	0.2638644
ENSMUSG00000000805	-0.4036816
ENSMUSG00000000823	0.46986145
ENSMUSG00000000826	0.13538286
ENSMUSG00000000827	0.0108829085
ENSMUSG00000000838	0.040412705
ENSMUSG00000000881	0.04870405
ENSMUSG00000000884	0.22772428
ENSMUSG00000000902	0.18963064
ENSMUSG00000000916	0.13167772
ENSMUSG00000000958	-0.64138335
ENSMUSG00000000959	0.4077843
ENSMUSG00000000976	0.5900661
ENSMUSG00000001016	-0.1068991
ENSMUSG00000001017	-0.22337885
ENSMUSG00000001018	0.053020496
ENSMUSG00000001034	0.15150234
ENSMUSG00000001036	0.4053374
ENSMUSG00000001039	0.71427286
ENSMUSG00000001054	-0.14942023
ENSMUSG00000001056	-0.15952119
ENSMUSG00000001082	0.38004717
ENSMUSG00000001089	0.14862199
ENSMUSG00000001100	-0.3447847
ENSMUSG00000001105	0.05060587
ENSMUSG00000001120	0.047520053
ENSMUSG00000001134	-0.047459677
ENSMUSG00000001138	-0.17615815
ENSMUSG00000001143	0.44894904
ENSMUSG00000001150	-0.0036086491
ENSMUSG00000001151	0.24196653
ENSMUSG00000001157	0.15779462
ENSMUSG00000001158	0.06303699
ENSMUSG00000001175	-0.6023801
ENSMUSG00000001211	0.015514245
ENSMUSG00000001229	0.19229867
ENSMUSG00000001240	-0.12361981
ENSMUSG00000001247	-0.062175274
ENSMUSG00000001248	0.27219766
ENSMUSG00000001249	0.006805693
ENSMUSG00000001270	-0.56358
ENSMUSG00000001285	0.26124877
ENSMUSG00000001288	-0.5667076
ENSMUSG00000001300	0.3298422
ENSMUSG00000001305	-0.0670468
ENSMUSG00000001376	0.7465915
ENSMUSG00000001380	0.2839273
ENSMUSG00000001403	-0.82571316
ENSMUSG00000001415	0.13027492
ENSMUSG00000001416	-0.58352894
ENSMUSG00000001418	-0.24293065
ENSMUSG00000001419	-0.28240147
ENSMUSG00000001435	-0.50997245
ENSMUSG00000001440	0.45941216
ENSMUSG00000001441	-0.3267323
ENSMUSG00000001445	0.39023027
ENSMUSG00000001467	0.08794743
ENSMUSG00000001472	-0.008618614
ENSMUSG00000001473	0.028457275
ENSMUSG00000001507	-0.41480535
ENSMUSG00000001517	0.05384019
ENSMUSG00000001518	0.37845594
ENSMUSG00000001521	-0.17258355
ENSMUSG00000001524	0.21768863
ENSMUSG00000001542	-0.19483213
ENSMUSG00000001552	-0.6746336
ENSMUSG00000001555	0.2818962
ENSMUSG00000001569	0.33683658
ENSMUSG00000001576	0.25706905
ENSMUSG00000001604	-0.1386003
ENSMUSG00000001630	0.020764854
ENSMUSG00000001632	0.25543493
ENSMUSG00000001642	-0.36986056
ENSMUSG00000001666	-0.55224764
ENSMUSG00000001674	0.31214672
ENSMUSG00000001687	-0.44335204
ENSMUSG00000001700	0.39097422
ENSMUSG00000001707	0.08251301
ENSMUSG00000001750	0.26733255
ENSMUSG00000001755	-0.14377691
ENSMUSG00000001761	-0.0074329786
ENSMUSG00000001767	0.059790112
ENSMUSG00000001774	0.3753321
ENSMUSG00000001785	-0.01166582
ENSMUSG00000001786	0.613993
ENSMUSG00000001829	0.064285
ENSMUSG00000001833	0.31059068
ENSMUSG00000001844	0.07204088
ENSMUSG00000001847	-0.34104878
ENSMUSG00000001855	0.035005532
ENSMUSG00000001891	0.23075369
ENSMUSG00000001910	-0.3225685
ENSMUSG00000001918	-0.24041486
ENSMUSG00000001983	0.1554679
ENSMUSG00000001998	0.6694351
ENSMUSG00000002006	-0.16301475
ENSMUSG00000002010	-0.3988163
ENSMUSG00000002014	-0.74953854
ENSMUSG00000002015	-0.21604678
ENSMUSG00000002017	-0.16330495
ENSMUSG00000002028	0.13660963
ENSMUSG00000002031	0.10426221
ENSMUSG00000002052	-0.24441588
ENSMUSG00000002055	0.121324584
ENSMUSG00000002058	-0.091815256
ENSMUSG00000002059	0.2772159
ENSMUSG00000002064	-0.18011789
ENSMUSG00000002068	-0.1542093
ENSMUSG00000002076	-0.7055251
ENSMUSG00000002102	0.24968429
ENSMUSG00000002103	0.87884855
ENSMUSG00000002129	0.2236503
ENSMUSG00000002147	-0.03640613
ENSMUSG00000002221	0.17413771
ENSMUSG00000002222	0.049081862
ENSMUSG00000002227	0.03515642
ENSMUSG00000002265	0.22418363
ENSMUSG00000002279	-0.0853237
ENSMUSG00000002280	0.025686705
ENSMUSG00000002289	0.053442825
ENSMUSG00000002297	-0.5172531
ENSMUSG00000002307	0.19176255
ENSMUSG00000002308	-0.1110277
ENSMUSG00000002320	0.16324136
ENSMUSG00000002329	0.009633644
ENSMUSG00000002332	0.25628176
ENSMUSG00000002343	0.3004251
ENSMUSG00000002365	0.041450404
ENSMUSG00000002372	0.60715693
ENSMUSG00000002379	-0.5446145
ENSMUSG00000002413	0.30334988
ENSMUSG00000002416	0.05862859
ENSMUSG00000002428	0.44377035
ENSMUSG00000002458	0.50371355
ENSMUSG00000002477	0.10969639
ENSMUSG00000002496	-0.35981518
ENSMUSG00000002546	0.06983795
ENSMUSG00000002550	0.5514512
ENSMUSG00000002580	0.13721475
ENSMUSG00000002625	0.610183
ENSMUSG00000002635	-0.447193
ENSMUSG00000002658	-0.11372924
ENSMUSG00000002660	-0.45082623
ENSMUSG00000002661	0.1763326
ENSMUSG00000002718	-0.071621545
ENSMUSG00000002731	0.80897176
ENSMUSG00000002733	0.37744302
ENSMUSG00000002741	-0.1780999
ENSMUSG00000002748	0.12300426
ENSMUSG00000002763	0.31532577
ENSMUSG00000002767	-0.2925177
ENSMUSG00000002768	-0.09100358
ENSMUSG00000002778	-0.1599242
ENSMUSG00000002797	-0.2817127
ENSMUSG00000002820	0.38179168
ENSMUSG00000002825	0.10934366
ENSMUSG00000002833	0.22346874
ENSMUSG00000002844	-0.4612522
ENSMUSG00000002846	0.10570415
ENSMUSG00000002871	0.13216674
ENSMUSG00000002900	-0.14316985
ENSMUSG00000002949	0.14919162
ENSMUSG00000002957	-0.16754071
ENSMUSG00000002980	0.012600729
ENSMUSG00000002981	0.07487528
ENSMUSG00000002984	0.06648624
ENSMUSG00000002985	-1.3354509
ENSMUSG00000002996	-0.02970536
ENSMUSG00000003031	0.43335208
ENSMUSG00000003033	0.23817734
ENSMUSG00000003037	-0.04730655
ENSMUSG00000003038	0.10304568
ENSMUSG00000003051	-0.30093753
ENSMUSG00000003068	0.23944218
ENSMUSG00000003070	0.5103548
ENSMUSG00000003099	-0.01758525
ENSMUSG00000003119	0.22371686
ENSMUSG00000003131	0.2416656
ENSMUSG00000003153	-0.7690537
ENSMUSG00000003166	-0.10208752
ENSMUSG00000003198	0.14811276
ENSMUSG00000003200	-0.21302672
ENSMUSG00000003226	0.3014225
ENSMUSG00000003233	0.16381204
ENSMUSG00000003234	0.5217215
ENSMUSG00000003235	-0.5009247
ENSMUSG00000003299	0.08091621
ENSMUSG00000003308	0.05288732
