	0
ENSMUSG00000000056	0.6616917
ENSMUSG00000000078	0.7745946
ENSMUSG00000000085	0.59529364
ENSMUSG00000000088	1.0162377
ENSMUSG00000000131	0.7944194
ENSMUSG00000000148	0.25196624
ENSMUSG00000000149	0.71669483
ENSMUSG00000000168	1.1412675
ENSMUSG00000000171	0.97524166
ENSMUSG00000000184	0.49064985
ENSMUSG00000000194	0.72743565
ENSMUSG00000000275	0.65365684
ENSMUSG00000000282	0.664904
ENSMUSG00000000295	1.2682354
ENSMUSG00000000296	0.60668457
ENSMUSG00000000303	0.53937215
ENSMUSG00000000325	0.50644314
ENSMUSG00000000326	1.0926691
ENSMUSG00000000339	0.36906847
ENSMUSG00000000340	0.34864184
ENSMUSG00000000346	0.5456289
ENSMUSG00000000365	0.48327422
ENSMUSG00000000384	0.4957078
ENSMUSG00000000399	0.68380463
ENSMUSG00000000409	0.9055541
ENSMUSG00000000420	0.7256683
ENSMUSG00000000439	0.6793669
ENSMUSG00000000441	0.79597753
ENSMUSG00000000552	-0.1183271
ENSMUSG00000000555	0.7825402
ENSMUSG00000000561	0.29372555
ENSMUSG00000000563	0.70088184
ENSMUSG00000000568	0.7035774
ENSMUSG00000000581	0.6478139
ENSMUSG00000000594	0.64973104
ENSMUSG00000000600	1.0188488
ENSMUSG00000000605	0.06675531
ENSMUSG00000000628	0.22204666
ENSMUSG00000000631	0.9219657
ENSMUSG00000000711	0.54488605
ENSMUSG00000000730	0.5848917
ENSMUSG00000000740	0.3311927
ENSMUSG00000000743	0.83816385
ENSMUSG00000000751	1.128028
ENSMUSG00000000759	1.018809
ENSMUSG00000000776	0.95412123
ENSMUSG00000000782	0.2157279
ENSMUSG00000000804	0.37438715
ENSMUSG00000000805	0.47939405
ENSMUSG00000000823	0.83688736
ENSMUSG00000000826	1.3007281
ENSMUSG00000000827	0.59907186
ENSMUSG00000000838	0.3710473
ENSMUSG00000000881	0.4036413
ENSMUSG00000000884	0.4619655
ENSMUSG00000000902	0.5876015
ENSMUSG00000000916	0.13335423
ENSMUSG00000000958	0.25089756
ENSMUSG00000000959	0.69222
ENSMUSG00000000976	0.83548033
ENSMUSG00000001016	0.70393324
ENSMUSG00000001017	0.9568006
ENSMUSG00000001018	0.83718747
ENSMUSG00000001034	0.73027354
ENSMUSG00000001036	0.51860493
ENSMUSG00000001039	0.44270277
ENSMUSG00000001054	0.6271288
ENSMUSG00000001056	0.45378298
ENSMUSG00000001082	0.30423635
ENSMUSG00000001089	0.6136083
ENSMUSG00000001100	0.8738143
ENSMUSG00000001105	0.7453512
ENSMUSG00000001120	0.451511
ENSMUSG00000001134	0.8707039
ENSMUSG00000001138	0.46353793
ENSMUSG00000001143	0.6825714
ENSMUSG00000001150	0.3521386
ENSMUSG00000001151	0.38213855
ENSMUSG00000001157	0.8307783
ENSMUSG00000001158	0.6423087
ENSMUSG00000001175	0.5767802
ENSMUSG00000001211	0.84747887
ENSMUSG00000001229	0.5729748
ENSMUSG00000001240	0.3816791
ENSMUSG00000001247	-0.10868476
ENSMUSG00000001248	0.0737024
ENSMUSG00000001249	0.068636574
ENSMUSG00000001270	0.829358
ENSMUSG00000001285	0.5068153
ENSMUSG00000001288	-0.2660573
ENSMUSG00000001300	0.94399995
ENSMUSG00000001305	0.42689592
