	0
ENSMUSG00000000056	0.10413599
ENSMUSG00000000078	0.230966
ENSMUSG00000000085	0.21994805
ENSMUSG00000000088	0.17876014
ENSMUSG00000000131	0.13049808
ENSMUSG00000000148	0.2883494
ENSMUSG00000000149	0.06253457
ENSMUSG00000000168	0.066177085
ENSMUSG00000000171	0.14371462
ENSMUSG00000000184	0.25197428
ENSMUSG00000000194	0.15189123
ENSMUSG00000000275	0.13654885
ENSMUSG00000000282	0.103353
ENSMUSG00000000295	0.073515795
ENSMUSG00000000296	0.2870997
ENSMUSG00000000303	0.12853757
ENSMUSG00000000325	0.12128983
ENSMUSG00000000326	0.052515887
ENSMUSG00000000339	0.03857212
ENSMUSG00000000340	0.14833322
ENSMUSG00000000346	0.14608201
ENSMUSG00000000365	0.165453
ENSMUSG00000000384	0.16014075
ENSMUSG00000000399	0.09793091
ENSMUSG00000000409	0.25393814
ENSMUSG00000000420	0.10699864
ENSMUSG00000000439	0.10459876
ENSMUSG00000000441	0.1735878
ENSMUSG00000000552	0.08145442
ENSMUSG00000000555	0.13259764
ENSMUSG00000000561	0.25395554
ENSMUSG00000000563	0.19239998
ENSMUSG00000000568	0.22306108
ENSMUSG00000000581	0.13861533
ENSMUSG00000000594	0.15565534
ENSMUSG00000000600	0.13911037
ENSMUSG00000000605	0.15429974
ENSMUSG00000000628	0.20964193
ENSMUSG00000000631	0.10124712
ENSMUSG00000000711	0.12381997
ENSMUSG00000000730	0.49094385
ENSMUSG00000000740	0.23534575
ENSMUSG00000000743	0.16655388
ENSMUSG00000000751	0.0736619
ENSMUSG00000000759	0.0985384
ENSMUSG00000000776	0.14055467
ENSMUSG00000000782	0.1648685
ENSMUSG00000000804	0.12200518
ENSMUSG00000000805	0.11082716
ENSMUSG00000000823	0.10667715
ENSMUSG00000000826	0.12443133
ENSMUSG00000000827	0.13163957
ENSMUSG00000000838	0.083203696
ENSMUSG00000000881	0.085897684
ENSMUSG00000000884	0.18864998
ENSMUSG00000000902	0.15626049
ENSMUSG00000000916	0.09530778
ENSMUSG00000000958	0.24192047
ENSMUSG00000000959	0.1032835
ENSMUSG00000000976	0.32185873
ENSMUSG00000001016	0.14681149
ENSMUSG00000001017	0.10129671
ENSMUSG00000001018	0.07766466
ENSMUSG00000001034	0.22828707
ENSMUSG00000001036	0.14399186
ENSMUSG00000001039	0.26504117
ENSMUSG00000001054	0.23180923
ENSMUSG00000001056	0.20319214
ENSMUSG00000001082	0.067228034
ENSMUSG00000001089	0.09978409
ENSMUSG00000001100	0.18966885
ENSMUSG00000001105	0.045003317
ENSMUSG00000001120	0.10195632
ENSMUSG00000001134	0.21182856
ENSMUSG00000001138	0.09369488
ENSMUSG00000001143	0.17757797
ENSMUSG00000001150	0.04325075
ENSMUSG00000001151	0.118473485
ENSMUSG00000001157	0.09585557
ENSMUSG00000001158	0.10856471
ENSMUSG00000001175	0.19104739
ENSMUSG00000001211	0.1144803
ENSMUSG00000001229	0.13942285
ENSMUSG00000001240	0.20973554
ENSMUSG00000001247	0.084932804
ENSMUSG00000001248	0.065475464
ENSMUSG00000001249	0.37825197
ENSMUSG00000001270	0.2208201
ENSMUSG00000001285	0.13665843
ENSMUSG00000001288	0.13908553
ENSMUSG00000001300	0.20127583
