	0
rna_ft0	0.11285143
rna_ft1	-1.6473484
rna_ft10	-0.20571922
rna_ft100	0.103947684
rna_ft1000	0.6867929
rna_ft1001	-3.618538
rna_ft1002	-0.12968671
rna_ft1003	-2.1894984
rna_ft1004	-0.029667173
rna_ft1005	0.23305151
rna_ft1006	0.03409195
rna_ft1007	-0.27580673
rna_ft1008	-0.14688802
rna_ft1009	0.8111519
rna_ft101	0.9025765
rna_ft1010	0.7702452
rna_ft1011	-1.5630604
rna_ft1012	-1.316966
rna_ft1013	-2.1802583
rna_ft1014	-0.31476244
rna_ft1015	-0.5269311
rna_ft1016	0.54987204
rna_ft1017	-0.5804358
rna_ft1018	0.6902706
rna_ft1019	-2.30499
rna_ft102	-1.5635827
rna_ft1020	1.2494402
rna_ft1021	0.86066043
rna_ft1022	1.0117776
rna_ft1023	0.6801192
rna_ft1024	0.04743861
rna_ft1025	-0.9986819
rna_ft1026	2.6797893
rna_ft1027	0.96854436
rna_ft1028	-0.8148645
rna_ft1029	1.4191378
rna_ft103	0.9190803
rna_ft1030	0.2843319
rna_ft1031	0.058106843
rna_ft1032	0.08579946
rna_ft1033	1.0288343
rna_ft1034	-0.117635734
rna_ft1035	0.2560059
rna_ft1036	-0.87476027
rna_ft1037	1.170394
rna_ft1038	-2.93175
rna_ft1039	-2.2511203
rna_ft104	-0.0047245026
rna_ft1040	-0.2815461
rna_ft1041	-0.45728844
rna_ft1042	0.65761715
rna_ft1043	-3.3415244
rna_ft1044	0.37454325
rna_ft1045	1.5546415
rna_ft1046	0.069895096
rna_ft1047	0.9769363
rna_ft1048	-1.9444464
rna_ft1049	1.0576494
rna_ft105	2.9509423
rna_ft1050	0.32370916
rna_ft1051	-0.41121048
rna_ft1052	1.2569443
rna_ft1053	2.8351994
rna_ft1054	1.831749
rna_ft1055	-0.3538825
rna_ft1056	1.2920927
rna_ft1057	-1.0981506
rna_ft1058	0.64721197
rna_ft1059	0.49340963
rna_ft106	-2.5459862
rna_ft1060	-0.3590524
rna_ft1061	-0.9583058
rna_ft1062	0.052819964
rna_ft1063	-0.5904562
rna_ft1064	1.1997763
rna_ft1065	-0.29008728
rna_ft1066	-2.3992193
rna_ft1067	0.50776106
rna_ft1068	2.2467344
rna_ft1069	-0.17927285
rna_ft107	-0.6549185
rna_ft1070	0.5024863
rna_ft1071	0.34540576
rna_ft1072	0.8043397
rna_ft1073	-0.7611442
rna_ft1074	0.95518726
rna_ft1075	0.51932716
rna_ft1076	-0.14575224
rna_ft1077	-0.02535625
rna_ft1078	0.37126875
rna_ft1079	0.063486196
rna_ft108	1.2958385
rna_ft1080	0.5667566
rna_ft1081	-0.20262478
rna_ft1082	-1.4743693
rna_ft1083	0.25853646
rna_ft1084	0.6376001
rna_ft1085	-3.1195457
rna_ft1086	0.33256626
rna_ft1087	0.15654732
rna_ft1088	-0.64683753
rna_ft1089	1.3824807
rna_ft109	-1.4834592
rna_ft1090	0.104059815
rna_ft1091	1.731118
rna_ft1092	0.14316763
rna_ft1093	-0.4413108
rna_ft1094	-0.54408747
rna_ft1095	0.7140564
rna_ft1096	1.206686
rna_ft1097	0.82758844
rna_ft1098	0.140348
rna_ft1099	-3.443348
rna_ft11	-4.3439703
rna_ft110	-1.6119083
rna_ft1100	-0.032987077
rna_ft1101	-0.22219566
rna_ft1102	1.2172376
rna_ft1103	1.9149581
rna_ft1104	-0.30161855
rna_ft1105	0.15500714
rna_ft1106	-0.0053715156
rna_ft1107	1.5183505
rna_ft1108	-2.006255
rna_ft1109	0.13707408
rna_ft111	2.4112027
rna_ft1110	0.121064305
rna_ft1111	-0.49536863
rna_ft1112	-1.0134522
rna_ft1113	-2.2415106
rna_ft1114	-1.5806153
rna_ft1115	1.1119367
rna_ft1116	0.8335781
rna_ft1117	1.2316351
rna_ft1118	-0.03270198
rna_ft1119	-0.06833134
rna_ft112	-1.4537386
rna_ft1120	-0.082930975
rna_ft1121	0.3882162
rna_ft1122	0.0033266614
rna_ft1123	0.7848056
rna_ft1124	-1.4092121
rna_ft1125	-0.15302591
rna_ft1126	0.4165171
rna_ft1127	0.70925486
rna_ft1128	1.2589273
rna_ft1129	-0.5030003
rna_ft113	-1.6743215
rna_ft1130	0.3327752
rna_ft1131	0.18240215
rna_ft1132	-0.24332848
rna_ft1133	-1.2577897
rna_ft1134	1.265936
rna_ft1135	-0.45676884
rna_ft1136	0.57790273
rna_ft1137	-0.44175574
rna_ft1138	0.37372592
rna_ft1139	0.7359162
rna_ft114	0.63441145
rna_ft1140	-1.581115
rna_ft1141	0.55374694
rna_ft1142	0.59910756
rna_ft1143	-1.2074463
rna_ft1144	-0.7846958
rna_ft1145	-0.45429626
rna_ft1146	0.34789565
rna_ft1147	0.92217594
rna_ft1148	-0.0011274064
rna_ft1149	-1.8005465
rna_ft115	0.4357719
rna_ft1150	0.6818704
rna_ft1151	0.014875044
rna_ft1152	1.6715358
rna_ft1153	-1.1167986
rna_ft1154	-1.1365703
rna_ft1155	0.46271276
rna_ft1156	0.5151954
rna_ft1157	-0.5544948
rna_ft1158	0.16072083
rna_ft1159	-0.4397504
rna_ft116	-0.88516057
rna_ft1160	1.1532198
rna_ft1161	-0.4230956
rna_ft1162	-0.53263634
rna_ft1163	-0.04625565
rna_ft1164	0.21519761
rna_ft1165	2.5510082
rna_ft1166	-0.34061247
rna_ft1167	-2.2498841
rna_ft1168	-0.086156204
rna_ft1169	-1.7360984
rna_ft117	-2.418247
rna_ft1170	1.0674603
rna_ft1171	-1.920514
rna_ft1172	-0.8545138
rna_ft1173	-0.1396705
rna_ft1174	-0.24392326
rna_ft1175	0.007696833
rna_ft1176	0.0019154275
rna_ft1177	-0.07594087
rna_ft1178	-0.64978456
rna_ft1179	-1.2566688
rna_ft118	0.17449059
rna_ft1180	-0.35625783
rna_ft1181	-0.16084091
rna_ft1182	-0.93051493
rna_ft1183	-1.3456782
rna_ft1184	-2.1264553
rna_ft1185	-1.5414237
rna_ft1186	0.5315158
rna_ft1187	-0.05841724
rna_ft1188	0.49663338
rna_ft1189	2.5744612
rna_ft119	0.20913173
rna_ft1190	1.1525052
rna_ft1191	-0.62001073
rna_ft1192	0.2789211
rna_ft1193	-0.494123
rna_ft1194	1.2895011
rna_ft1195	0.8286241
rna_ft1196	1.0782535
rna_ft1197	3.328207
rna_ft1198	-0.11061467
rna_ft1199	-0.5989424
rna_ft12	-2.030931
rna_ft120	0.28017023
rna_ft1200	0.7220677
rna_ft1201	-2.9107053
rna_ft1202	-1.3157011
rna_ft1203	-0.28680196
rna_ft1204	1.5156391
rna_ft1205	0.9493923
rna_ft1206	-2.9750593
rna_ft1207	0.25469807
rna_ft1208	0.020710498
rna_ft1209	0.52392614
rna_ft121	-0.13954094
rna_ft1210	3.032025
rna_ft1211	-0.08247912
rna_ft1212	-0.6627943
rna_ft1213	0.260336
rna_ft1214	-2.0971198
rna_ft1215	0.21856819
rna_ft1216	0.99846894
rna_ft1217	2.2064798
rna_ft1218	0.022831058
rna_ft1219	-0.057431944
rna_ft122	-2.290659
rna_ft1220	0.3455019
rna_ft1221	1.8851204
rna_ft1222	-2.6417823
rna_ft1223	0.1011986
rna_ft1224	1.0025554
rna_ft1225	-0.4207077
rna_ft1226	-0.3098239
rna_ft1227	0.18437886
rna_ft1228	0.7907563
rna_ft1229	-1.342507
rna_ft123	-2.9812105
rna_ft1230	-0.27320704
rna_ft1231	-0.5095874
rna_ft1232	-1.3576641
rna_ft1233	-0.2111455
rna_ft1234	-0.4307522
rna_ft1235	-0.63631874
rna_ft1236	-0.1302299
rna_ft1237	1.3894577
rna_ft1238	-0.09498704
rna_ft1239	-0.55485284
rna_ft124	0.39379427
rna_ft1240	-1.4975394
rna_ft1241	-0.1823461
rna_ft1242	-1.576498
rna_ft1243	-0.4342237
rna_ft1244	0.33700225
rna_ft1245	-1.5087944
rna_ft1246	1.3293822
rna_ft1247	-0.36463532
rna_ft1248	-0.050459005
rna_ft1249	-2.8953946
rna_ft125	-1.1932214
rna_ft1250	-0.661368
rna_ft1251	-0.7093912
rna_ft1252	0.22525346
rna_ft1253	-1.1641595
rna_ft1254	0.33360052
rna_ft1255	-0.76604664
rna_ft1256	-0.10452616
rna_ft1257	3.300061
rna_ft1258	0.857778
rna_ft1259	-1.1937913
rna_ft126	0.46328282
rna_ft1260	3.3399773
rna_ft1261	2.2820761
rna_ft1262	-0.16782103
rna_ft1263	0.93861914
rna_ft1264	-0.45151475
rna_ft1265	-1.3875607
rna_ft1266	-0.2623221
rna_ft1267	1.4498847
rna_ft1268	-0.09505107
rna_ft1269	-1.1983763
rna_ft127	-1.4493961
rna_ft1270	0.37918177
rna_ft1271	-0.2385238
rna_ft1272	0.67780644
rna_ft1273	-1.5866663
rna_ft1274	1.5929842
rna_ft1275	0.27771202
rna_ft1276	-0.14752059
rna_ft1277	0.227475
rna_ft1278	-1.2450517
rna_ft1279	-0.023040935
rna_ft128	-1.2458175
rna_ft1280	1.9909834
rna_ft1281	0.2764631
rna_ft1282	-1.4680593
rna_ft1283	0.6147572
rna_ft1284	0.24972235
rna_ft1285	-0.3017455
rna_ft1286	-0.9256128
rna_ft1287	-2.1409786
rna_ft1288	1.2623867
rna_ft1289	1.6000563
rna_ft129	-2.2388828
rna_ft1290	0.05461905
rna_ft1291	-0.38123658
rna_ft1292	0.64651865
rna_ft1293	-0.5407361
rna_ft1294	-2.3089716
rna_ft1295	-0.77754575
rna_ft1296	-0.95569706
rna_ft1297	0.17565443
rna_ft1298	-0.9062409
rna_ft1299	-1.0825924
rna_ft13	-0.180568
rna_ft130	-1.6220306
rna_ft1300	-0.053633608
rna_ft1301	-1.0380766
rna_ft1302	-1.0914503
rna_ft1303	-0.035225052
rna_ft1304	0.26425582
rna_ft1305	-0.6559628
rna_ft1306	-1.227048
rna_ft1307	-0.47042847
rna_ft1308	-0.32578796
rna_ft1309	-0.30770567
rna_ft131	0.30094978
rna_ft1310	-1.4646703
rna_ft1311	0.36828884
rna_ft1312	0.9887057
rna_ft1313	0.46575674
rna_ft1314	0.46565938
rna_ft1315	-1.1905845
rna_ft1316	-1.0527389
rna_ft1317	0.36582693
rna_ft1318	-0.12785129
rna_ft1319	-1.658965
rna_ft132	-0.69975173
rna_ft1320	-0.7609536
rna_ft1321	1.5475667
rna_ft1322	-1.1856734
rna_ft1323	0.41097787
rna_ft1324	-0.6603805
rna_ft1325	0.30433077
rna_ft1326	-0.29119954
rna_ft1327	2.7934184
rna_ft1328	0.91671836
rna_ft1329	0.10053562
rna_ft133	0.4501652
rna_ft1330	2.1232238
rna_ft1331	0.8059745
rna_ft1332	1.1673737
rna_ft1333	-1.5465192
rna_ft1334	1.0273625
rna_ft1335	-2.833872
rna_ft1336	-0.3252413
rna_ft1337	0.14024036
rna_ft1338	-0.17201209
rna_ft1339	-0.13363644
rna_ft134	-0.5709072
rna_ft1340	0.9415656
rna_ft1341	1.8475734
rna_ft1342	-0.06426006
rna_ft1343	-1.3719577
rna_ft1344	0.15394667
rna_ft1345	-1.2286247
rna_ft1346	-0.43856558
rna_ft1347	-1.5676857
rna_ft1348	0.3310056
rna_ft1349	-1.3851833
rna_ft135	-0.54125834
rna_ft1350	-0.36330816
rna_ft1351	-0.048038032
rna_ft1352	1.8748314
rna_ft1353	0.03513847
rna_ft1354	1.2847468
rna_ft1355	1.0963204
rna_ft1356	-0.40150622
rna_ft1357	0.4842033
rna_ft1358	-1.1003286
rna_ft1359	1.12335
rna_ft136	0.34022817
rna_ft1360	-0.50079244
rna_ft1361	0.29309794
rna_ft1362	1.6693588
rna_ft1363	0.6150173
rna_ft1364	-0.09305874
rna_ft1365	0.6526367
rna_ft1366	0.22073881
rna_ft1367	-2.5136654
rna_ft1368	-0.32151338
rna_ft1369	-0.33097047
rna_ft137	-0.6215486
rna_ft1370	-0.10874585
rna_ft1371	-1.012448
rna_ft1372	-0.21860735
rna_ft1373	0.46928254
rna_ft1374	1.4189329
rna_ft1375	0.0159476
rna_ft1376	-0.9972483
rna_ft1377	0.6114958
rna_ft1378	0.6403144
rna_ft1379	-0.11937533
rna_ft138	-0.7539085
rna_ft1380	-2.8871055
rna_ft1381	-2.3294945
rna_ft1382	2.5654356
rna_ft1383	-2.1956382
rna_ft1384	0.3679348
rna_ft1385	-0.6947013
rna_ft1386	0.3445678
rna_ft1387	-1.4426184
rna_ft1388	-0.36119732
rna_ft1389	1.936495
rna_ft139	0.8624044
rna_ft1390	-2.4189353
rna_ft1391	0.18738084
rna_ft1392	0.31199
rna_ft1393	-2.796244
rna_ft1394	0.7495804
rna_ft1395	-0.2825733
rna_ft1396	0.78361434
rna_ft1397	-0.3781571
rna_ft1398	0.04230566
rna_ft1399	-0.011079692
rna_ft14	-0.19806494
rna_ft140	0.79411757
rna_ft1400	-1.7031868
rna_ft1401	0.019145992
rna_ft1402	1.4082457
rna_ft1403	-0.20549437
rna_ft1404	-0.19358549
rna_ft1405	-0.78891313
rna_ft1406	0.025231581
rna_ft1407	1.8723029
rna_ft1408	0.38117167
rna_ft1409	0.9673582
rna_ft141	0.43571535
rna_ft1410	0.26365283
rna_ft1411	-0.028401826
rna_ft1412	-0.61595243
rna_ft1413	-0.29420802
rna_ft1414	0.015843146
rna_ft1415	0.30168253
rna_ft1416	-0.8032171
rna_ft1417	0.5186041
rna_ft1418	-0.036055375
rna_ft1419	0.13122034
rna_ft142	-0.19633162
rna_ft1420	-0.31226292
rna_ft1421	1.2185174
rna_ft1422	-0.36658743
rna_ft1423	-0.7742774
rna_ft1424	0.43684396
rna_ft1425	-0.5206399
rna_ft1426	1.5843756
rna_ft1427	1.5256425
rna_ft1428	0.39420253
rna_ft1429	0.55618936
rna_ft143	0.48198396
rna_ft1430	0.19422565
rna_ft1431	-0.67521447
rna_ft1432	-0.56994873
rna_ft1433	2.8919487
rna_ft1434	0.6857402
rna_ft1435	0.33626625
rna_ft1436	0.42440003
rna_ft1437	-0.23482195
rna_ft1438	3.0697665
rna_ft1439	-0.014358017
rna_ft144	-2.7894237
rna_ft1440	2.8770423
rna_ft1441	0.22089209
rna_ft1442	2.1657443
rna_ft1443	-1.5888731
rna_ft1444	-0.18245223
rna_ft1445	-0.52130973
rna_ft1446	-3.6177514
rna_ft1447	-1.4620249
rna_ft1448	-0.357315
rna_ft1449	-0.016190503
rna_ft145	0.13706739
rna_ft1450	-2.6338573
rna_ft1451	-0.7459974
rna_ft1452	-1.1198884
rna_ft1453	1.1507112
rna_ft1454	-0.6055482
rna_ft1455	0.052202415
rna_ft1456	-0.23397072
rna_ft1457	-0.6026584
rna_ft1458	1.1044118
rna_ft1459	-0.36840335
rna_ft146	0.2832866
rna_ft1460	-0.62057704
rna_ft1461	1.1531508
rna_ft1462	0.6772657
rna_ft1463	0.17692132
rna_ft1464	-0.3114086
rna_ft1465	0.03696092
rna_ft1466	-1.0470386
rna_ft1467	-0.16229665
rna_ft1468	-1.79317
rna_ft1469	-0.25068325
rna_ft147	0.62761694
rna_ft1470	2.3711846
rna_ft1471	-1.3970509
rna_ft1472	-0.22573264
rna_ft1473	1.0214384
rna_ft1474	-0.28275004
rna_ft1475	0.61982244
rna_ft1476	-3.1092467
rna_ft1477	0.86223996
rna_ft1478	0.395809
rna_ft1479	0.061672676
rna_ft148	-0.05201857
rna_ft1480	-0.50222933
rna_ft1481	1.0484868
rna_ft1482	0.35314384
rna_ft1483	-2.3824947
rna_ft1484	-1.2525842
rna_ft1485	2.0558662
rna_ft1486	-0.017925903
rna_ft1487	0.2694736
rna_ft1488	1.530153
rna_ft1489	-0.030839374
rna_ft149	0.1156506
rna_ft1490	-0.056453817
rna_ft1491	-0.71847886
rna_ft1492	-0.46554035
rna_ft1493	-0.6728135
rna_ft1494	0.2709594
rna_ft1495	0.13815491
rna_ft1496	0.9593325
rna_ft1497	-0.6836605
rna_ft1498	0.20580041
rna_ft1499	-0.9555053
rna_ft15	1.1070939
rna_ft150	-0.041828603
rna_ft1500	0.40864617
rna_ft1501	-1.2310866
rna_ft1502	-0.046871196
rna_ft1503	0.04388619
rna_ft1504	0.19972265
rna_ft1505	1.5090467
rna_ft1506	-2.5668373
rna_ft1507	-1.857069
rna_ft1508	0.6950169
rna_ft1509	-1.4937766
rna_ft151	-0.90911233
rna_ft1510	1.2374046
rna_ft1511	0.8539106
rna_ft1512	-1.4632183
rna_ft1513	0.146666
rna_ft1514	-0.5196825
rna_ft1515	0.04947195
rna_ft1516	0.9292207
rna_ft1517	1.4636288
rna_ft1518	-1.8790709
rna_ft1519	-0.086283624
rna_ft152	-0.23734929
rna_ft1520	-2.9106288
rna_ft1521	-0.74887276
rna_ft1522	-0.19034143
rna_ft1523	-2.1404984
rna_ft1524	-0.0053798673
rna_ft1525	0.21049479
rna_ft1526	-4.0879607
rna_ft1527	-1.4455576
rna_ft1528	-1.6198595
rna_ft1529	0.51907814
rna_ft153	0.94825745
rna_ft1530	-0.49864563
rna_ft1531	-1.2826732
rna_ft1532	-1.0134898
rna_ft1533	-1.7950875
rna_ft1534	1.0779779
rna_ft1535	-2.3725686
rna_ft1536	-0.5704482
rna_ft1537	0.7534858
rna_ft1538	-0.5561275
rna_ft1539	-0.3921647
rna_ft154	-0.77397156
rna_ft1540	0.87230545
rna_ft1541	0.58639324
rna_ft1542	0.15680318
rna_ft1543	0.26879755
rna_ft1544	0.060073726
rna_ft1545	-0.7376867
rna_ft1546	1.3927212
rna_ft1547	0.45103902
rna_ft1548	0.56735027
rna_ft1549	-3.690388
rna_ft155	-1.0218374
rna_ft1550	-0.51051074
rna_ft1551	-0.618951
rna_ft1552	0.8058714
rna_ft1553	0.41672844
rna_ft1554	-0.22521475
rna_ft1555	0.20628272
rna_ft1556	1.9178439
rna_ft1557	-0.9961321
rna_ft1558	2.4315073
rna_ft1559	-2.8323016
rna_ft156	0.063319586
rna_ft1560	-1.916751
rna_ft1561	-0.69271153
rna_ft1562	-0.5446135
rna_ft1563	-0.10429279
rna_ft1564	-0.7285089
rna_ft1565	-0.6160571
rna_ft1566	-0.77057236
rna_ft1567	-1.0364635
rna_ft1568	-0.23056793
rna_ft1569	0.36615863
rna_ft157	-0.3913863
rna_ft1570	0.6057272
rna_ft1571	-1.5083332
rna_ft1572	-0.6045331
rna_ft1573	4.2707715
rna_ft1574	-0.13769746
rna_ft1575	-0.044232246
