	0
rna_ft0	0.070660524
rna_ft1	0.065293655
rna_ft10	0.019860063
rna_ft100	0.02346325
rna_ft1000	0.21892364
rna_ft1001	0.3630617
rna_ft1002	0.023165567
rna_ft1003	0.093334
rna_ft1004	0.031705175
rna_ft1005	0.05202852
rna_ft1006	0.035063606
rna_ft1007	0.035831384
rna_ft1008	0.017041888
rna_ft1009	0.033592906
rna_ft101	0.049963612
rna_ft1010	0.058127064
rna_ft1011	0.019565923
rna_ft1012	0.058120728
rna_ft1013	0.084133215
rna_ft1014	0.03570686
rna_ft1015	0.0526745
rna_ft1016	0.0987965
rna_ft1017	0.021462712
rna_ft1018	0.040295534
rna_ft1019	0.2963066
rna_ft102	0.16242436
rna_ft1020	0.092610635
rna_ft1021	0.09529196
rna_ft1022	0.050169673
rna_ft1023	0.02688953
rna_ft1024	0.05049624
rna_ft1025	0.022612708
rna_ft1026	0.02289915
rna_ft1027	0.079575405
rna_ft1028	0.08892059
rna_ft1029	0.030355725
rna_ft103	0.13944551
rna_ft1030	0.037031446
rna_ft1031	0.045211177
rna_ft1032	0.10150126
rna_ft1033	0.00838743
rna_ft1034	0.061856408
rna_ft1035	0.028392384
rna_ft1036	0.051592488
rna_ft1037	0.020797865
rna_ft1038	0.021881852
rna_ft1039	0.05201251
rna_ft104	0.051277094
rna_ft1040	0.02439819
rna_ft1041	0.16713993
rna_ft1042	0.04950183
rna_ft1043	0.24147913
rna_ft1044	0.03987517
rna_ft1045	0.07656234
rna_ft1046	0.034352984
rna_ft1047	0.095921315
rna_ft1048	0.12276622
rna_ft1049	0.017750127
rna_ft105	0.0851014
rna_ft1050	0.063384466
rna_ft1051	0.03799704
rna_ft1052	0.095299445
rna_ft1053	0.050171036
rna_ft1054	0.09175246
rna_ft1055	0.021785531
rna_ft1056	0.12998512
rna_ft1057	0.013761384
rna_ft1058	0.05674267
rna_ft1059	0.03137609
rna_ft106	0.09517125
rna_ft1060	0.009466307
rna_ft1061	0.10006033
rna_ft1062	0.024875913
rna_ft1063	0.082789145
rna_ft1064	0.04928187
rna_ft1065	0.092854224
rna_ft1066	0.12353141
rna_ft1067	0.051528726
rna_ft1068	0.019836834
rna_ft1069	0.039578848
rna_ft107	0.0716065
rna_ft1070	0.05891684
rna_ft1071	0.0263631
rna_ft1072	0.052944798
rna_ft1073	0.057696752
rna_ft1074	0.113428526
rna_ft1075	0.08919205
rna_ft1076	0.030398915
rna_ft1077	0.027921949
rna_ft1078	0.07833188
rna_ft1079	0.082458906
rna_ft108	0.043522425
rna_ft1080	0.032101087
rna_ft1081	0.08059005
rna_ft1082	0.06923846
rna_ft1083	0.12764461
rna_ft1084	0.02893189
rna_ft1085	0.11077009
rna_ft1086	0.037328582
rna_ft1087	0.048393793
rna_ft1088	0.03973804
rna_ft1089	0.17170307
rna_ft109	0.050103527
rna_ft1090	0.033950396
rna_ft1091	0.038870335
rna_ft1092	0.047227997
rna_ft1093	0.031930856
rna_ft1094	0.0921855
rna_ft1095	0.029792922
rna_ft1096	0.024109704
rna_ft1097	0.05163431
rna_ft1098	0.09733943
rna_ft1099	0.066806994
rna_ft11	0.08037002
rna_ft110	0.025722435
rna_ft1100	0.036039557
rna_ft1101	0.085569926
rna_ft1102	0.056050505
rna_ft1103	0.21259424
rna_ft1104	0.07834135
rna_ft1105	0.12695278
rna_ft1106	0.043924876
rna_ft1107	0.07073661
rna_ft1108	0.09748997
rna_ft1109	0.018789427
rna_ft111	0.018589225
rna_ft1110	0.05229289
rna_ft1111	0.14308037
rna_ft1112	0.050038405
rna_ft1113	0.047035217
rna_ft1114	0.11482579
rna_ft1115	0.06899064
rna_ft1116	0.06424495
rna_ft1117	0.02989224
rna_ft1118	0.05153397
rna_ft1119	0.012490681
rna_ft112	0.16699293
rna_ft1120	0.016027927
rna_ft1121	0.016359465
rna_ft1122	0.024251666
rna_ft1123	0.06619664
rna_ft1124	0.095738135
rna_ft1125	0.008637496
rna_ft1126	0.0651179
rna_ft1127	0.031271797
rna_ft1128	0.008040292
rna_ft1129	0.06535162
rna_ft113	0.061196737
rna_ft1130	0.024447372
rna_ft1131	0.03566728
rna_ft1132	0.015387739
rna_ft1133	0.109590806
rna_ft1134	0.08936106
rna_ft1135	0.082097396
rna_ft1136	0.028722627
rna_ft1137	0.030640807
rna_ft1138	0.048703056
rna_ft1139	0.07239219
rna_ft114	0.046704087
rna_ft1140	0.034708023
rna_ft1141	0.011107786
rna_ft1142	0.06920079
rna_ft1143	0.038328033
rna_ft1144	0.04014172
rna_ft1145	0.024193764
rna_ft1146	0.20558092
rna_ft1147	0.073409624
rna_ft1148	0.009092331
rna_ft1149	0.07581343
rna_ft115	0.03122173
rna_ft1150	0.041264806
rna_ft1151	0.03786925
rna_ft1152	0.0712988
rna_ft1153	0.035796165
rna_ft1154	0.039332457
rna_ft1155	0.04845735
rna_ft1156	0.024255684
rna_ft1157	0.031141963
rna_ft1158	0.0275774
rna_ft1159	0.033303466
rna_ft116	0.09978431
rna_ft1160	0.08145952
rna_ft1161	0.02595377
rna_ft1162	0.020816121
rna_ft1163	0.0567097
rna_ft1164	0.04205697
rna_ft1165	0.08955717
rna_ft1166	0.08424909
rna_ft1167	0.12246827
rna_ft1168	0.07905715
rna_ft1169	0.15451643
rna_ft117	0.20382063
rna_ft1170	0.1382325
rna_ft1171	0.048917975
rna_ft1172	0.014151028
rna_ft1173	0.016513824
rna_ft1174	0.024326188
rna_ft1175	0.028767858
rna_ft1176	0.04081692
rna_ft1177	0.028143883
rna_ft1178	0.0342382
rna_ft1179	0.013402735
rna_ft118	0.056700844
rna_ft1180	0.102003574
rna_ft1181	0.029665198
rna_ft1182	0.10667406
rna_ft1183	0.12106909
rna_ft1184	0.15313019
rna_ft1185	0.07812895
rna_ft1186	0.069096155
rna_ft1187	0.038419385
rna_ft1188	0.017312322
rna_ft1189	0.0917996
rna_ft119	0.018870013
rna_ft1190	0.038160663
rna_ft1191	0.16383253
rna_ft1192	0.049439974
rna_ft1193	0.057463784
rna_ft1194	0.039773736
rna_ft1195	0.053695746
rna_ft1196	0.034913745
rna_ft1197	0.041615214
rna_ft1198	0.11322778
rna_ft1199	0.012887955
rna_ft12	0.116280146
rna_ft120	0.21138252
rna_ft1200	0.02485861
rna_ft1201	0.05510807
rna_ft1202	0.075124875
rna_ft1203	0.04875258
rna_ft1204	0.08839308
rna_ft1205	0.027014663
rna_ft1206	0.064763956
rna_ft1207	0.035108157
rna_ft1208	0.05033309
rna_ft1209	0.034867354
rna_ft121	0.049319677
rna_ft1210	0.08108731
rna_ft1211	0.108434334
rna_ft1212	0.007897241
rna_ft1213	0.02852181
rna_ft1214	0.07811908
rna_ft1215	0.035871506
rna_ft1216	0.035927158
rna_ft1217	0.09907075
rna_ft1218	0.0059317863
rna_ft1219	0.060959883
rna_ft122	0.17958498
rna_ft1220	0.07720893
rna_ft1221	0.03192118
rna_ft1222	0.2303159
rna_ft1223	0.021894183
rna_ft1224	0.04152264
rna_ft1225	0.04015725
rna_ft1226	0.033282142
rna_ft1227	0.031526428
rna_ft1228	0.084438324
rna_ft1229	0.11085742
rna_ft123	0.18481602
rna_ft1230	0.029796736
rna_ft1231	0.06306267
rna_ft1232	0.025854042
rna_ft1233	0.035993237
rna_ft1234	0.016477244
rna_ft1235	0.058793817
rna_ft1236	0.032937527
rna_ft1237	0.16042675
rna_ft1238	0.024393013
rna_ft1239	0.03800222
rna_ft124	0.13298948
rna_ft1240	0.06904854
rna_ft1241	0.048729353
rna_ft1242	0.04397876
rna_ft1243	0.045077324
rna_ft1244	0.032582693
rna_ft1245	0.10128082
rna_ft1246	0.0833277
rna_ft1247	0.036361832
rna_ft1248	0.11314787
rna_ft1249	0.1452756
rna_ft125	0.035628114
rna_ft1250	0.1113442
rna_ft1251	0.032247
rna_ft1252	0.023174355
rna_ft1253	0.033044066
rna_ft1254	0.1253391
rna_ft1255	0.024400711
rna_ft1256	0.03473466
rna_ft1257	0.028003624
rna_ft1258	0.030904021
rna_ft1259	0.045657497
rna_ft126	0.02242136
rna_ft1260	0.105169296
rna_ft1261	0.07555424
rna_ft1262	0.055025987
rna_ft1263	0.14222376
rna_ft1264	0.021863189
rna_ft1265	0.042693276
rna_ft1266	0.04626097
rna_ft1267	0.045639038
rna_ft1268	0.019399302
rna_ft1269	0.067694664
rna_ft127	0.012739862
rna_ft1270	0.040715966
rna_ft1271	0.048865456
rna_ft1272	0.013314383
rna_ft1273	0.12113578
rna_ft1274	0.014840399
rna_ft1275	0.013904231
rna_ft1276	0.030705044
rna_ft1277	0.015679767
rna_ft1278	0.051503796
rna_ft1279	0.027589798
rna_ft128	0.055614676
rna_ft1280	0.030887809
rna_ft1281	0.09483133
rna_ft1282	0.020389285
rna_ft1283	0.10905143
rna_ft1284	0.028068338
rna_ft1285	0.06790148
rna_ft1286	0.012990271
rna_ft1287	0.07740961
rna_ft1288	0.04074737
rna_ft1289	0.0364698
rna_ft129	0.16962017
rna_ft1290	0.039395332
rna_ft1291	0.045001984
rna_ft1292	0.052098956
rna_ft1293	0.01582786
rna_ft1294	0.051342826
rna_ft1295	0.011557647
rna_ft1296	0.013125011
rna_ft1297	0.036516123
rna_ft1298	0.03674943
rna_ft1299	0.04549108
rna_ft13	0.08428444
rna_ft130	0.12402691
rna_ft1300	0.015534537
rna_ft1301	0.03853648
rna_ft1302	0.020384653
rna_ft1303	0.044899464
rna_ft1304	0.021931784
rna_ft1305	0.05098084
rna_ft1306	0.019981248
rna_ft1307	0.015537262
rna_ft1308	0.055902276
rna_ft1309	0.053085666
rna_ft131	0.065679684
rna_ft1310	0.08857543
rna_ft1311	0.035607748
rna_ft1312	0.039068084
rna_ft1313	0.029099805
rna_ft1314	0.03466926
rna_ft1315	0.02536869
rna_ft1316	0.07620784
rna_ft1317	0.024812153
rna_ft1318	0.061737947
rna_ft1319	0.042972088
rna_ft132	0.02436161
rna_ft1320	0.058008943
rna_ft1321	0.04778978
rna_ft1322	0.035599846
rna_ft1323	0.03644957
rna_ft1324	0.050291676
rna_ft1325	0.026021685
rna_ft1326	0.081573896
rna_ft1327	0.22276232
rna_ft1328	0.041250024
rna_ft1329	0.11648124
rna_ft133	0.08676202
rna_ft1330	0.014112745
rna_ft1331	0.040194035
rna_ft1332	0.0929904
rna_ft1333	0.094221525
rna_ft1334	0.033807617
rna_ft1335	0.074368544
rna_ft1336	0.06268488
rna_ft1337	0.019679274
rna_ft1338	0.106703825
rna_ft1339	0.069447316
rna_ft134	0.09179483
rna_ft1340	0.03783403
rna_ft1341	0.15395117
rna_ft1342	0.039879322
rna_ft1343	0.073215894
rna_ft1344	0.07185479
rna_ft1345	0.025832994
rna_ft1346	0.040007453
rna_ft1347	0.01920809
rna_ft1348	0.056319647
rna_ft1349	0.036346026
rna_ft135	0.022383077
rna_ft1350	0.034609932
rna_ft1351	0.017964976
rna_ft1352	0.16417892
rna_ft1353	0.049242634
rna_ft1354	0.07047878
rna_ft1355	0.16006497
rna_ft1356	0.04487855
rna_ft1357	0.12653773
rna_ft1358	0.026703835
rna_ft1359	0.13175453
rna_ft136	0.011972427
rna_ft1360	0.041711126
rna_ft1361	0.02940246
rna_ft1362	0.027428081
rna_ft1363	0.02656269
rna_ft1364	0.06273719
rna_ft1365	0.043832574
rna_ft1366	0.06762014
rna_ft1367	0.17845862
rna_ft1368	0.090690136
rna_ft1369	0.06712709
rna_ft137	0.04290288
rna_ft1370	0.020688057
rna_ft1371	0.04239416
rna_ft1372	0.04055657
rna_ft1373	0.023744037
rna_ft1374	0.046289783
rna_ft1375	0.035531383
rna_ft1376	0.0290105
rna_ft1377	0.29002872
rna_ft1378	0.05672598
rna_ft1379	0.05044065
rna_ft138	0.032927513
rna_ft1380	0.021930967
rna_ft1381	0.062314577
rna_ft1382	0.1527253
rna_ft1383	0.024684837
rna_ft1384	0.019953046
rna_ft1385	0.058178425
rna_ft1386	0.075141974
rna_ft1387	0.07890402
rna_ft1388	0.037626676
rna_ft1389	0.05379445
rna_ft139	0.082147054
rna_ft1390	0.14688063
rna_ft1391	0.076199256
rna_ft1392	0.03273085
rna_ft1393	0.24875614
rna_ft1394	0.015700068
rna_ft1395	0.0435945
rna_ft1396	0.052089076
rna_ft1397	0.019716535
rna_ft1398	0.046063356
rna_ft1399	0.027314732
rna_ft14	0.049063616
rna_ft140	0.079734124
rna_ft1400	0.15356167
rna_ft1401	0.019087315
rna_ft1402	0.05856269
rna_ft1403	0.08901004
rna_ft1404	0.031168733
rna_ft1405	0.032732554
rna_ft1406	0.019663403
rna_ft1407	0.027146611
rna_ft1408	0.046831675
rna_ft1409	0.059087005
rna_ft141	0.12042345
rna_ft1410	0.038175583
rna_ft1411	0.07221358
rna_ft1412	0.09433317
rna_ft1413	0.049024515
rna_ft1414	0.022492886
rna_ft1415	0.047857422
rna_ft1416	0.05284943
rna_ft1417	0.08351489
rna_ft1418	0.018923214
rna_ft1419	0.051000662
rna_ft142	0.12952457
rna_ft1420	0.08826004
rna_ft1421	0.10616963
rna_ft1422	0.03309611
rna_ft1423	0.18497896
rna_ft1424	0.04606206
rna_ft1425	0.021015303
rna_ft1426	0.16373642
rna_ft1427	0.102832794
rna_ft1428	0.097962655
rna_ft1429	0.023967743
rna_ft143	0.028473036
rna_ft1430	0.065899715
rna_ft1431	0.033037048
rna_ft1432	0.044523988
rna_ft1433	0.12789787
rna_ft1434	0.10900436
rna_ft1435	0.06235865
rna_ft1436	0.010612079
rna_ft1437	0.03399161
rna_ft1438	0.010694913
rna_ft1439	0.016385486
rna_ft144	0.045220714
rna_ft1440	0.11501421
rna_ft1441	0.01779134
rna_ft1442	0.04739482
rna_ft1443	0.013676167
rna_ft1444	0.04413884
rna_ft1445	0.03907415
rna_ft1446	0.062947206
rna_ft1447	0.080753125
rna_ft1448	0.024308546
rna_ft1449	0.01562759
rna_ft145	0.016425133
rna_ft1450	0.062275205
rna_ft1451	0.11514664
rna_ft1452	0.06688465
rna_ft1453	0.011870861
rna_ft1454	0.016001293
rna_ft1455	0.021520955
rna_ft1456	0.033417974
rna_ft1457	0.05515766
rna_ft1458	0.02129364
rna_ft1459	0.06706177
rna_ft146	0.04935966
rna_ft1460	0.048698764
rna_ft1461	0.11763709
rna_ft1462	0.0923515
rna_ft1463	0.0915293
rna_ft1464	0.13251461
rna_ft1465	0.023333414
rna_ft1466	0.06397043
rna_ft1467	0.24752869
rna_ft1468	0.03506211
rna_ft1469	0.022429807
rna_ft147	0.019447532
rna_ft1470	0.09808438
rna_ft1471	0.07011305
rna_ft1472	0.060834408
rna_ft1473	0.06276805
rna_ft1474	0.0786985
rna_ft1475	0.03640284
rna_ft1476	0.055768557
rna_ft1477	0.026712487
rna_ft1478	0.008872032
rna_ft1479	0.03487771
rna_ft148	0.04060064
rna_ft1480	0.110395566
rna_ft1481	0.04144158
rna_ft1482	0.03937408
rna_ft1483	0.03257527
rna_ft1484	0.048128128
rna_ft1485	0.02344254
rna_ft1486	0.020194054
rna_ft1487	0.049954277
rna_ft1488	0.13349976
rna_ft1489	0.031340122
rna_ft149	0.020963669
rna_ft1490	0.010106155
rna_ft1491	0.07193784
rna_ft1492	0.03917006
rna_ft1493	0.027655873
rna_ft1494	0.04702929
rna_ft1495	0.012763977
rna_ft1496	0.05988482
rna_ft1497	0.037958484
rna_ft1498	0.023064408
rna_ft1499	0.09656375
rna_ft15	0.054276466
rna_ft150	0.04044887
rna_ft1500	0.025453363
rna_ft1501	0.029101985
rna_ft1502	0.04516956
rna_ft1503	0.04901784
rna_ft1504	0.03062984
rna_ft1505	0.23968983
rna_ft1506	0.0932045
rna_ft1507	0.038413387
rna_ft1508	0.022875514
rna_ft1509	0.035813875
rna_ft151	0.046463694
rna_ft1510	0.096320495
rna_ft1511	0.059341226
rna_ft1512	0.085671425
rna_ft1513	0.04427692
rna_ft1514	0.048539095
rna_ft1515	0.036059994
rna_ft1516	0.040452752
rna_ft1517	0.026394436
rna_ft1518	0.102781974
rna_ft1519	0.07948555
rna_ft152	0.015731676
rna_ft1520	0.1502204
rna_ft1521	0.04354511
rna_ft1522	0.042663574
rna_ft1523	0.08150884
rna_ft1524	0.06549038
rna_ft1525	0.03924615
rna_ft1526	0.06200123
rna_ft1527	0.06138495
rna_ft1528	0.10180827
rna_ft1529	0.05142055
rna_ft153	0.021544116
rna_ft1530	0.020255974
rna_ft1531	0.07440983
rna_ft1532	0.06999976
rna_ft1533	0.053957324
rna_ft1534	0.065457754
rna_ft1535	0.027546952
rna_ft1536	0.049800735
rna_ft1537	0.06165913
rna_ft1538	0.028744152
rna_ft1539	0.049100876
rna_ft154	0.103675164
rna_ft1540	0.034354072
rna_ft1541	0.03953784
rna_ft1542	0.01721968
rna_ft1543	0.04702895
rna_ft1544	0.01821409
rna_ft1545	0.030020032
rna_ft1546	0.025816645
rna_ft1547	0.044938225
rna_ft1548	0.04352767
rna_ft1549	0.23469557
rna_ft155	0.026258945
rna_ft1550	0.045108113
rna_ft1551	0.026722772
rna_ft1552	0.08940915
rna_ft1553	0.03344563
rna_ft1554	0.037544727
rna_ft1555	0.03960214
rna_ft1556	0.09816755
rna_ft1557	0.027469499
rna_ft1558	0.09304639
rna_ft1559	0.19156109
rna_ft156	0.026472092
rna_ft1560	0.053551607
rna_ft1561	0.081962995
rna_ft1562	0.07027047
rna_ft1563	0.026092801
rna_ft1564	0.094774656
rna_ft1565	0.08988762
rna_ft1566	0.012651171
rna_ft1567	0.07163886
rna_ft1568	0.04183497
rna_ft1569	0.008802346
rna_ft157	0.035685744
rna_ft1570	0.028100763
rna_ft1571	0.12674311
rna_ft1572	0.09419632
rna_ft1573	0.2799085
rna_ft1574	0.02577768
rna_ft1575	0.14379549
rna_ft1576	0.032199793
rna_ft1577	0.12519495
rna_ft1578	0.039152894
rna_ft1579	0.048858576
rna_ft158	0.05194732
rna_ft1580	0.0133058
rna_ft1581	0.061082024
rna_ft1582	0.035727568
rna_ft1583	0.13274963
rna_ft1584	0.053112846
rna_ft1585	0.055955682
rna_ft1586	0.044935226
rna_ft1587	0.05962011
rna_ft1588	0.056247234
rna_ft1589	0.102663994
rna_ft159	0.07027646
rna_ft1590	0.11646032
rna_ft1591	0.038986888
rna_ft1592	0.04023116
rna_ft1593	0.060123306
rna_ft1594	0.016412871
rna_ft1595	0.07317107
rna_ft1596	0.026655879
rna_ft1597	0.018411567
rna_ft1598	0.037929673
rna_ft1599	0.052268777
rna_ft16	0.048596382
rna_ft160	0.08482797
rna_ft1600	0.055616517
rna_ft1601	0.109790124
rna_ft1602	0.1265442
rna_ft1603	0.050755363
rna_ft1604	0.020561967
rna_ft1605	0.08057308
rna_ft1606	0.043668475
rna_ft1607	0.029200213
rna_ft1608	0.074086465
rna_ft1609	0.13493095
rna_ft161	0.04308837
rna_ft1610	0.04086113
rna_ft1611	0.025782721
rna_ft1612	0.108154096
rna_ft1613	0.14092895
rna_ft1614	0.016146932
rna_ft1615	0.010372026
rna_ft1616	0.06597117
rna_ft1617	0.020812988
rna_ft1618	0.051252365
rna_ft1619	0.03768042
rna_ft162	0.037887845
rna_ft1620	0.033728395
rna_ft1621	0.010919639
rna_ft1622	0.04967642
rna_ft1623	0.024174418
rna_ft1624	0.061302595
rna_ft1625	0.09861885
rna_ft1626	0.050189223
rna_ft1627	0.050517015
rna_ft1628	0.04261562
rna_ft1629	0.034597807
rna_ft163	0.064384736
rna_ft1630	0.012539864
rna_ft1631	0.022998879
rna_ft1632	0.036318984
rna_ft1633	0.07535219
rna_ft1634	0.048080307
rna_ft1635	0.052617617
rna_ft1636	0.07063675
rna_ft1637	0.030248165
rna_ft1638	0.07692371
rna_ft1639	0.079529695
rna_ft164	0.14419945
rna_ft1640	0.043119974
rna_ft1641	0.04525103
rna_ft1642	0.07449293
rna_ft1643	0.052028928
rna_ft1644	0.1363573
rna_ft1645	0.029884884
rna_ft1646	0.12122481
rna_ft1647	0.06616415
rna_ft1648	0.05323233
rna_ft1649	0.028826237
rna_ft165	0.04599108
rna_ft1650	0.052012853
rna_ft1651	0.17298815
rna_ft1652	0.04018402
rna_ft1653	0.020026615
rna_ft1654	0.11052799
rna_ft1655	0.057350226
rna_ft1656	0.008159978
rna_ft1657	0.01418502
rna_ft1658	0.025950704
rna_ft1659	0.05869525
rna_ft166	0.20522949
rna_ft1660	0.037460737
rna_ft1661	0.052508693
rna_ft1662	0.041164126
rna_ft1663	0.04872833
rna_ft1664	0.13297217
rna_ft1665	0.053079266
rna_ft1666	0.0126947
rna_ft1667	0.030416012
rna_ft1668	0.034910474
rna_ft1669	0.02418702
rna_ft167	0.038249355
rna_ft1670	0.07834979
rna_ft1671	0.025118146
rna_ft1672	0.021390097
rna_ft1673	0.041179996
rna_ft1674	0.051929064
rna_ft1675	0.08505215
rna_ft1676	0.03958893
rna_ft1677	0.009326254
rna_ft1678	0.13311951
rna_ft1679	0.19803163
rna_ft168	0.03285701
rna_ft1680	0.020896094
rna_ft1681	0.07256835
rna_ft1682	0.05171224
rna_ft1683	0.019907882
rna_ft1684	0.041716576
rna_ft1685	0.015604769
rna_ft1686	0.034697805
rna_ft1687	0.09520626
rna_ft1688	0.021333423
rna_ft1689	0.049455505
rna_ft169	0.09699379
rna_ft1690	0.16689464
rna_ft1691	0.10403701
rna_ft1692	0.0459874
rna_ft1693	0.055096693
rna_ft1694	0.118734226
rna_ft1695	0.018052578
rna_ft1696	0.012149538
rna_ft1697	0.031680517
rna_ft1698	0.1333281
rna_ft1699	0.11546026
rna_ft17	0.020124367
rna_ft170	0.05135686
rna_ft1700	0.024433272
rna_ft1701	0.061435018
rna_ft1702	0.025404999
rna_ft1703	0.040797506
rna_ft1704	0.027572155
rna_ft1705	0.070682526
rna_ft1706	0.26340404
rna_ft1707	0.0637017
rna_ft1708	0.06678861
rna_ft1709	0.034556933
rna_ft171	0.060513563
rna_ft1710	0.04631642
rna_ft1711	0.041466713
rna_ft1712	0.020646844
rna_ft1713	0.030930655
rna_ft1714	0.06903185
rna_ft1715	0.10207183
rna_ft1716	0.049486775
rna_ft1717	0.06550945
rna_ft1718	0.027561529
rna_ft1719	0.021042552
rna_ft172	0.025655065
rna_ft1720	0.03882912
rna_ft1721	0.049696036
rna_ft1722	0.03498486
rna_ft1723	0.021554198
rna_ft1724	0.12018524
rna_ft1725	0.010767937
rna_ft1726	0.091397695
rna_ft1727	0.05098745
rna_ft1728	0.042056493
